,Anza,Carrizo,Cholame,Coachella,Garlock,Mojave
687,49,15,16,28,59,17
688,38,17,16,32,61,19
689,35,17,17,31,60,14
690,41,17,16,23,136,21
691,30,17,15,31,122,20
692,42,16,13,32,80,20
693,43,18,16,28,32,22
694,31,14,14,32,72,16
695,26,18,20,30,67,23
696,30,18,17,27,77,20
697,40,16,17,31,77,19
698,39,18,17,35,31,20
699,43,16,19,26,27,18
700,45,18,18,27,74,20
701,38,19,18,31,122,14
702,43,18,20,29,137,21
703,43,18,16,32,76,22
704,43,16,20,31,52,21
705,40,15,17,31,111,17
706,44,18,18,32,68,22
707,39,19,17,27,55,18
708,42,15,18,25,115,17
709,40,17,20,22,66,17
710,33,16,15,25,42,21
711,38,18,17,31,64,19
712,34,15,17,31,49,19
713,42,17,18,34,93,20
714,40,18,16,29,69,15
715,42,17,18,34,52,17
716,44,17,17,31,77,17
717,45,19,18,30,35,22
718,41,18,17,28,96,19
719,47,16,16,30,122,21
720,39,13,18,31,78,21
721,42,15,17,32,37,19
722,45,17,14,28,75,19
723,43,14,16,31,49,18
724,40,11,17,30,67,17
725,44,15,16,32,39,18
726,38,16,16,30,71,17
727,41,16,13,28,55,17
728,41,17,16,28,132,18
729,43,16,17,34,129,20
730,42,11,16,36,79,20
731,44,3,17,24,62,18
732,45,13,17,28,75,12
733,43,16,17,32,18,7
734,44,14,16,31,46,10
735,37,20,12,18,75,9
736,46,17,16,21,50,4
737,42,17,11,33,68,12
738,43,17,2,31,71,18
739,46,19,15,32,30,17
740,43,18,17,25,35,13
741,32,18,18,30,62,17
742,38,20,16,31,29,19
743,42,16,17,30,34,18
744,45,20,21,37,57,22
745,28,17,15,24,73,19
746,40,18,17,33,74,20
747,43,17,19,35,49,17
748,45,18,18,27,8,16
749,41,20,13,31,48,21
750,43,15,16,25,5,16
751,41,17,17,35,72,18
752,38,17,19,29,70,20
753,41,18,16,28,38,22
754,43,16,19,32,25,20
755,44,18,13,31,68,18
756,39,17,17,27,55,22
757,42,18,18,29,46,20
758,43,17,19,26,40,19
759,46,16,18,30,64,18
760,45,18,16,24,58,21
761,41,17,18,34,76,20
762,40,14,16,30,57,19
763,40,16,15,24,71,20
764,39,17,19,29,84,20
765,41,16,19,30,21,21
766,41,16,15,29,24,19
767,24,13,12,30,59,14
768,26,16,17,33,59,19
769,44,17,16,37,12,18
770,40,16,11,30,90,19
771,28,17,4,30,26,21
772,39,17,12,29,87,21
773,32,17,20,33,64,16
774,42,10,16,29,30,21
775,44,5,17,27,31,18
776,45,12,17,29,82,17
777,42,16,19,30,51,16
778,45,14,14,26,39,19
779,33,15,14,27,18,17
780,41,17,17,26,81,18
781,28,18,15,30,71,20
782,43,16,13,35,35,19
783,43,17,13,26,15,14
784,44,21,19,17,72,21
785,38,15,15,13,109,20
786,32,17,20,10,40,19
787,40,19,18,30,81,19
788,40,18,18,28,103,22
789,29,13,13,16,131,20
790,40,3,15,7,113,19
791,37,12,17,27,99,20
792,43,17,15,32,87,15
793,41,19,16,29,114,20
794,47,16,18,34,61,18
795,39,19,17,31,52,19
796,41,15,13,27,52,19
797,26,15,14,17,65,17
798,19,18,16,22,115,17
799,43,19,19,20,75,16
800,46,18,15,33,58,19
801,42,16,14,35,70,22
802,45,18,15,30,42,21
803,20,16,17,24,75,18
804,31,15,17,24,27,17
805,37,19,16,31,43,18
806,40,11,18,30,75,18
807,41,7,16,29,67,19
808,45,9,19,28,36,18
809,42,18,21,29,31,18
810,44,17,16,22,77,18
811,33,16,14,27,79,19
812,38,16,18,21,32,18
813,33,17,17,10,120,21
814,40,15,18,4,73,20
815,33,16,17,30,56,17
816,19,17,17,35,72,21
817,17,17,18,29,59,14
818,44,13,16,28,77,21
819,45,5,17,33,24,21
820,42,14,17,30,27,17
821,43,14,20,34,70,18
822,46,17,18,24,72,18
823,46,11,20,34,36,20
824,40,3,18,32,82,15
825,42,14,19,33,120,16
826,41,16,18,27,62,23
827,41,15,17,31,56,20
828,30,15,19,27,75,21
829,43,20,18,31,37,18
830,42,18,18,31,23,18
831,37,18,17,32,83,19
832,42,13,14,30,49,20
833,45,15,18,30,34,20
834,40,17,18,27,74,16
835,40,15,14,34,19,20
836,42,16,20,30,39,21
837,42,14,16,30,68,21
838,42,11,18,30,51,16
839,42,9,15,27,66,18
840,42,13,16,30,74,21
841,44,17,18,30,49,23
842,46,13,16,28,59,21
843,40,6,15,29,79,20
844,41,12,18,32,74,21
845,42,15,18,33,41,20
846,23,14,17,27,27,19
847,12,15,15,34,62,15
848,36,17,18,27,117,13
849,45,17,18,34,56,6
850,43,16,16,29,66,12
851,44,18,19,33,118,15
852,43,16,20,29,86,18
853,30,19,19,27,29,18
854,41,21,14,33,32,18
855,42,16,17,30,81,20
856,42,14,17,27,78,13
857,32,18,19,28,22,18
858,24,17,18,34,28,16
859,22,18,15,30,76,19
860,42,17,17,32,60,20
861,43,17,16,26,54,21
862,21,18,12,30,61,17
863,20,16,16,34,17,18
864,45,17,21,31,31,18
865,38,17,18,31,64,19
866,44,20,17,33,74,18
867,42,18,16,31,42,17
868,42,20,19,33,26,17
869,42,18,17,31,61,18
870,44,19,18,31,138,19
871,43,18,18,27,80,16
872,42,17,16,29,56,20
873,35,19,19,31,60,17
874,47,18,19,36,59,16
875,44,14,16,20,80,20
876,42,12,17,28,17,20
877,35,3,19,30,44,21
878,43,4,13,29,49,19
879,43,14,16,32,55,16
880,41,18,12,24,40,16
881,45,18,14,32,30,17
882,42,14,20,34,55,17
883,45,1,19,32,51,19
884,43,18,17,23,57,20
885,37,16,16,32,63,15
886,43,18,17,29,54,23
887,40,15,15,37,68,22
888,33,16,19,33,14,18
889,42,18,17,26,36,20
890,32,16,17,32,61,19
891,39,15,16,31,65,17
892,44,18,9,31,42,19
893,42,18,9,28,61,23
894,43,17,3,29,58,20
895,38,15,14,32,63,21
896,39,18,15,29,55,21
897,42,18,17,30,77,19
898,38,16,20,27,48,21
899,43,19,17,36,63,19
900,45,20,15,27,64,22
901,43,19,18,31,110,17
902,40,14,17,29,40,16
903,38,17,13,24,58,20
904,42,17,18,28,93,19
905,45,19,18,30,17,19
906,42,18,19,25,51,18
907,48,15,18,27,54,19
908,45,17,17,30,75,17
909,41,16,18,26,29,17
910,45,12,17,33,79,22
911,45,16,20,27,75,14
912,40,21,16,29,21,18
913,39,18,17,33,31,23
914,42,17,17,28,56,19
915,45,16,17,32,38,17
916,26,19,17,31,28,16
917,44,17,13,28,74,23
918,42,18,18,28,73,21
919,39,18,16,34,54,20
920,40,16,16,35,105,18
921,50,19,17,25,116,14
922,41,19,20,30,74,18
923,47,16,14,36,21,20
924,40,17,16,30,102,19
925,44,19,18,32,77,20
926,49,13,15,30,14,20
927,41,16,18,30,47,21
928,42,12,19,28,70,17
929,41,14,20,29,124,18
930,38,12,20,30,65,18
931,40,15,16,31,44,15
932,39,11,20,33,30,17
933,44,3,16,34,58,19
934,47,13,15,18,106,20
935,45,16,16,17,110,13
936,41,17,17,33,18,5
937,30,15,16,30,84,9
938,23,19,16,29,79,12
939,45,17,16,30,29,11
940,39,17,17,29,40,16
941,42,16,14,30,75,20
942,44,19,17,33,77,17
943,45,18,15,29,34,16
944,41,15,17,28,18,13
945,37,17,17,29,60,22
946,40,20,18,30,49,21
947,40,17,20,29,79,19
948,41,15,16,33,47,18
949,42,11,18,22,127,19
950,41,6,18,16,74,22
951,42,12,18,34,36,22
952,41,18,18,24,30,20
953,45,18,15,27,56,20
954,43,18,18,34,25,21
955,38,19,16,32,26,18
956,30,18,18,30,45,16
957,41,17,15,32,47,17
958,19,18,16,30,76,17
959,20,17,17,33,51,17
960,42,20,18,18,58,19
961,48,16,18,14,52,21
962,43,17,17,33,102,20
963,41,17,18,33,47,21
964,43,17,12,31,41,20
965,50,17,18,32,79,23
966,39,13,15,31,38,18
967,37,18,19,35,18,21
968,43,16,18,31,71,20
969,41,16,19,26,129,23
970,44,17,16,33,65,17
971,40,20,20,34,57,16
972,24,14,17,32,75,22
973,40,16,16,32,37,20
974,16,18,15,30,57,21
975,21,15,16,31,3,21
976,33,18,17,34,52,20
977,41,19,17,29,64,22
978,42,20,14,26,25,21
979,41,20,16,33,94,12
980,44,16,16,25,14,4
981,41,20,17,33,73,13
982,45,16,17,27,55,22
983,42,15,19,37,58,20
984,40,16,16,29,75,21
985,41,17,19,33,44,19
986,38,16,16,30,81,19
987,45,16,17,31,35,20
988,38,16,19,35,71,19
989,37,17,15,33,48,18
