,feature,probabilities
48,"(1, 1, 0, 0, 0, 0)","(0.010317883, 0.0050768857, 0.03718617, 0.09534663, 0.050819755, 0.04043561)"
49,"(1, 1, 0, 0, 0, 1)","(0.010300553, 0.0051119416, 0.03375648, 0.09717318, 0.037300587, 0.03655692)"
50,"(1, 1, 0, 0, 1, 0)","(0.011601681, 0.0053783325, 0.03737296, 0.08455941, 0.017421814, 0.030257966)"
51,"(1, 1, 0, 0, 1, 1)","(0.011608189, 0.0053876434, 0.031935282, 0.0976977, 0.012748591, 0.026842033)"
52,"(1, 1, 0, 1, 0, 0)","(0.012499001, 0.005421945, 0.034226257, 0.012681088, 0.048075847, 0.040444575)"
53,"(1, 1, 0, 1, 0, 1)","(0.01265536, 0.0054249363, 0.030063713, 0.014480153, 0.03840091, 0.03229781)"
54,"(1, 1, 0, 1, 1, 0)","(0.014001012, 0.005790502, 0.037823983, 0.008978676, 0.016288413, 0.03112816)"
55,"(1, 1, 0, 1, 1, 1)","(0.0140088415, 0.0058005243, 0.032322887, 0.010508525, 0.011915522, 0.027616782)"
56,"(1, 1, 1, 0, 0, 0)","(0.0069785044, 0.0053695547, 0.005383227, 0.08756851, 0.049298733, 0.030986618)"
57,"(1, 1, 1, 0, 0, 1)","(0.006966748, 0.0054066232, 0.0048718886, 0.08926077, 0.03616878, 0.027987862)"
58,"(1, 1, 1, 0, 1, 0)","(0.007869466, 0.0056562675, 0.0050543793, 0.08911764, 0.01699892, 0.022677768)"
59,"(1, 1, 1, 0, 1, 1)","(0.00785622, 0.005695304, 0.0045741335, 0.090836845, 0.012359682, 0.02046612)"
60,"(1, 1, 1, 1, 0, 0)","(0.008573071, 0.0055621234, 0.003416685, 0.025790187, 0.04834003, 0.027876541)"
61,"(1, 1, 1, 1, 0, 1)","(0.008577891, 0.00557175, 0.002904657, 0.030097513, 0.035674408, 0.024722608)"
62,"(1, 1, 1, 1, 1, 0)","(0.009607892, 0.005940151, 0.0037885373, 0.01833146, 0.016380921, 0.021390641)"
63,"(1, 1, 1, 1, 1, 1)","(0.009613288, 0.005950429, 0.0032209635, 0.021420468, 0.011983503, 0.018956205)"
