,feature,probabilities
37,"(1, 0, 0, 1, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
38,"(1, 0, 0, 1, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
39,"(1, 0, 0, 1, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
40,"(1, 0, 1, 0, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
41,"(1, 0, 1, 0, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
42,"(1, 0, 1, 0, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
43,"(1, 0, 1, 0, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
44,"(1, 0, 1, 1, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
45,"(1, 0, 1, 1, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
46,"(1, 0, 1, 1, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
47,"(1, 0, 1, 1, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
48,"(1, 1, 0, 0, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
49,"(1, 1, 0, 0, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
50,"(1, 1, 0, 0, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
51,"(1, 1, 0, 0, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
52,"(1, 1, 0, 1, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
53,"(1, 1, 0, 1, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
54,"(1, 1, 0, 1, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
55,"(1, 1, 0, 1, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
56,"(1, 1, 1, 0, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
57,"(1, 1, 1, 0, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
58,"(1, 1, 1, 0, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
59,"(1, 1, 1, 0, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
60,"(1, 1, 1, 1, 0, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
61,"(1, 1, 1, 1, 0, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
62,"(1, 1, 1, 1, 1, 0)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
63,"(1, 1, 1, 1, 1, 1)","(0.06352726324028177, 0.058831202713279414, 0.05217845030002609, 0.032350639186016175, 0.02461083572484564, 0.016131837551091398)"
