San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
14,14,3,24,18,24
0,0,4,25,19,25
1,1,5,26,20,26
2,2,6,27,21,27
3,3,7,28,22,28
4,4,8,29,23,29
5,5,9,30,24,30
6,6,10,31,25,31
7,7,11,32,26,32
8,8,12,33,27,33
9,9,13,0,28,34
10,10,14,1,29,35
11,11,15,2,30,36
12,12,16,3,31,37
13,0,17,4,32,38
14,1,18,5,33,39
15,2,19,6,34,40
16,3,20,7,35,41
17,4,0,8,36,42
0,0,1,9,37,43
1,1,2,10,38,44
2,2,3,11,39,45
3,3,4,12,40,0
4,4,5,13,41,1
5,5,6,14,42,2
6,6,7,15,0,3
7,7,8,16,1,4
8,8,9,17,2,5
9,9,10,18,3,6
10,10,11,19,4,7
11,11,12,20,5,8
12,12,13,21,6,9
0,0,14,22,7,10
1,1,15,23,8,11
2,2,16,24,9,12
3,3,17,25,10,13
4,4,18,26,11,14
5,5,19,27,12,15
6,6,20,28,13,16
7,7,21,29,14,17
0,8,0,0,15,18
1,9,1,1,16,19
2,10,2,2,17,20
3,11,3,3,18,21
4,12,4,4,19,22
5,13,5,5,20,23
6,14,6,6,21,24
7,15,7,7,22,25
8,16,8,8,23,26
9,17,9,9,24,27
10,18,10,10,25,28
11,19,11,11,26,29
12,20,12,12,27,30
13,21,13,13,28,31
14,22,14,14,29,32
15,23,15,15,30,33
0,0,16,16,31,34
1,1,17,17,32,35
2,2,18,18,33,36
3,3,19,19,34,37
4,4,20,20,35,38
5,5,0,21,36,39
6,6,1,22,37,40
7,7,2,23,38,41
8,8,3,24,39,42
9,9,4,25,40,43
10,10,5,26,41,44
11,11,6,27,42,45
12,12,7,28,0,46
13,13,8,29,1,47
14,14,9,30,2,48
15,15,10,31,3,49
16,16,11,32,4,50
17,17,12,0,5,51
0,0,13,1,6,52
1,1,14,2,7,53
2,2,15,3,8,54
3,3,16,4,9,55
4,4,17,5,10,56
5,5,18,6,11,57
6,6,19,7,12,58
7,7,20,8,13,59
8,8,21,9,14,60
9,9,22,10,15,61
10,10,23,11,16,62
11,11,0,12,17,0
12,12,1,13,18,1
13,13,2,14,19,2
14,14,3,15,20,3
15,15,4,16,21,4
16,16,5,17,22,5
17,17,6,18,23,6
0,0,7,19,24,7
1,1,8,20,25,8
2,2,9,21,26,9
3,3,10,22,27,10
4,4,11,23,28,11
5,5,12,24,29,12
6,6,13,25,30,13
7,7,14,26,31,14
8,8,15,27,32,15
9,9,16,28,33,16
10,10,17,29,34,17
11,11,18,30,35,18
12,12,19,31,36,19
13,13,20,32,37,20
0,14,0,33,38,21
1,15,1,0,39,22
2,16,2,1,40,23
3,0,3,2,0,24
4,1,4,3,1,25
5,2,5,4,2,26
6,3,6,5,3,27
7,4,7,6,4,28
8,5,8,7,5,29
9,6,9,8,6,30
10,7,10,9,7,31
11,8,11,10,8,32
12,9,12,11,9,33
13,10,13,12,10,34
14,11,14,13,11,35
0,12,15,14,12,36
1,13,16,15,13,37
2,14,17,16,14,38
3,15,18,17,15,39
4,16,19,18,16,40
5,17,0,19,17,41
6,18,1,20,18,42
7,0,2,21,19,43
8,1,3,22,20,44
9,2,4,23,21,45
10,3,5,24,22,46
11,4,6,25,23,47
12,5,7,26,24,48
13,6,8,27,25,49
14,7,9,28,26,50
15,8,10,29,27,51
16,9,11,30,28,52
17,10,12,31,29,53
0,0,13,32,30,54
1,1,14,33,31,55
2,2,15,34,32,56
3,3,16,0,33,57
4,4,17,1,34,58
5,5,18,2,35,59
6,6,19,3,36,60
7,7,0,4,37,0
8,0,1,5,38,1
9,1,2,6,39,2
10,2,3,7,40,3
11,3,4,8,41,4
12,4,5,9,0,5
13,5,6,10,1,6
14,6,7,11,2,7
15,7,8,12,3,8
16,8,9,13,4,9
17,9,10,14,5,10
18,10,11,15,6,11
0,0,12,16,7,12
1,1,13,17,8,13
2,2,14,18,9,14
3,3,15,19,10,15
4,4,16,20,11,16
5,5,17,21,12,17
6,6,18,22,13,18
7,7,19,0,14,19
8,8,20,1,15,20
9,0,0,2,16,21
10,1,1,3,17,22
11,2,2,4,18,23
12,3,3,5,19,24
13,4,4,6,20,25
14,5,5,7,21,26
15,6,6,8,22,27
0,0,7,9,23,28
1,1,8,10,24,29
2,2,9,11,25,30
3,3,10,12,26,31
4,4,11,13,27,32
5,5,12,14,28,33
6,6,13,15,29,34
7,7,14,16,30,35
8,8,15,17,31,36
9,9,16,18,32,37
10,10,17,19,33,38
11,11,18,20,34,39
12,12,19,21,35,40
13,0,20,22,0,41
14,1,21,23,1,42
15,2,0,24,2,43
16,3,1,25,3,44
0,4,2,26,4,45
1,5,3,0,5,46
2,6,4,1,6,0
3,7,5,2,7,1
4,8,6,3,8,2
5,9,7,4,9,3
6,10,8,5,10,4
7,11,9,6,11,5
8,12,10,7,12,6
9,13,11,8,13,7
10,14,12,9,14,8
11,15,13,10,15,9
12,16,14,11,16,10
13,17,15,12,17,11
14,18,16,13,18,12
0,0,17,14,19,13
1,1,18,15,20,14
2,2,19,16,21,15
3,3,20,17,22,16
0,4,0,18,23,17
1,5,1,19,24,18
2,6,2,20,25,19
3,7,3,21,26,20
4,8,4,22,27,21
5,9,5,23,28,22
6,10,6,24,29,23
7,11,7,25,30,24
8,12,8,26,31,25
9,13,9,27,32,26
10,14,10,28,33,27
11,15,11,0,34,28
12,16,12,1,35,29
13,17,13,2,36,30
0,0,14,3,37,31
1,1,15,4,38,32
2,2,16,5,39,33
3,3,17,6,40,34
4,4,18,7,41,35
5,5,19,8,42,36
6,6,20,9,43,37
7,7,0,10,44,38
8,8,1,11,0,39
9,9,2,12,1,40
10,10,3,13,2,41
11,11,4,14,3,42
12,12,5,15,4,43
13,13,6,16,5,44
14,14,7,17,6,45
15,15,8,18,7,46
16,16,9,19,8,47
17,17,10,20,9,48
0,0,11,21,10,49
1,1,12,22,11,50
2,2,13,23,12,51
3,3,14,24,13,52
4,4,15,25,14,53
5,5,16,26,15,54
6,6,17,27,16,55
7,7,18,28,17,56
8,8,19,29,18,57
9,9,0,30,19,58
10,10,1,31,20,59
11,11,2,0,21,60
12,12,3,1,22,61
13,13,4,2,23,62
14,14,5,3,24,63
15,15,6,4,25,64
16,16,7,5,26,65
0,0,8,6,27,66
1,1,9,7,28,67
2,2,10,8,29,68
3,3,11,9,30,69
4,4,12,10,31,70
5,5,13,11,32,71
6,6,14,12,33,72
7,7,15,13,34,73
8,8,16,14,35,74
9,9,17,15,36,75
10,10,18,16,37,76
11,11,19,17,38,77
12,12,0,18,0,78
13,13,1,19,1,79
14,14,2,20,2,80
15,15,3,21,3,81
0,16,4,22,4,82
1,17,5,23,5,83
2,0,6,24,6,84
3,1,7,25,7,85
4,2,8,26,8,86
5,3,9,27,9,87
6,4,10,0,10,88
7,5,11,1,11,89
8,6,12,2,12,90
9,7,13,3,13,91
10,8,14,4,14,92
11,9,15,5,15,93
12,10,16,6,16,94
13,11,17,7,17,95
14,12,18,8,18,96
15,13,19,9,19,97
0,0,0,10,20,0
1,1,1,11,21,1
2,2,2,12,22,2
3,3,3,13,23,3
4,4,4,14,24,4
5,5,5,15,25,5
6,6,6,16,26,6
7,7,7,17,27,7
8,8,8,18,28,8
9,9,9,19,29,9
10,10,10,20,30,10
11,11,11,21,31,11
12,12,12,22,32,12
13,13,13,23,33,13
14,14,14,24,34,14
15,15,15,25,35,15
16,16,16,26,36,16
0,0,0,27,37,17
1,1,1,28,38,18
2,2,2,29,39,19
3,3,3,30,0,20
4,4,4,31,1,21
5,5,5,32,2,22
6,6,6,33,3,23
7,7,7,34,4,24
8,8,8,35,5,25
9,9,9,0,6,26
10,10,10,1,7,27
11,11,11,2,8,28
12,12,12,3,9,29
13,13,13,4,10,30
14,14,14,5,11,31
15,15,15,6,12,32
16,16,16,7,13,33
17,17,17,8,14,34
18,18,18,9,15,35
19,19,19,10,16,36
0,0,0,11,17,37
1,1,1,12,18,38
2,2,2,13,19,39
3,3,3,14,20,40
4,4,4,15,21,41
5,5,5,16,22,0
6,6,6,17,23,1
7,7,7,18,24,2
8,8,8,19,0,3
9,9,9,20,1,4
10,10,10,21,2,5
11,11,11,22,3,6
12,12,12,23,4,7
13,13,13,24,5,8
14,14,14,25,6,9
15,15,15,26,7,10
16,16,16,27,8,11
17,17,17,28,9,12
0,0,0,29,10,13
1,1,1,0,11,14
2,2,2,1,12,15
3,3,3,2,13,16
4,4,4,3,14,17
5,5,5,4,15,18
6,6,6,5,16,19
7,7,7,6,17,20
8,8,8,7,18,21
9,9,9,8,19,22
10,10,10,9,20,23
11,11,11,10,21,24
12,12,12,11,22,25
13,13,13,12,23,26
14,14,14,13,24,27
15,15,15,14,25,28
16,16,16,15,26,29
17,17,17,16,27,30
18,18,18,17,28,31
0,0,19,18,29,32
1,1,20,19,30,33
2,2,21,20,31,34
3,3,0,21,32,35
4,4,1,22,33,36
5,5,2,23,34,37
6,6,3,24,35,38
7,7,4,25,36,39
8,8,5,26,37,40
9,9,6,27,38,41
10,10,7,28,39,42
11,11,8,0,40,43
12,12,9,1,41,44
13,13,10,2,42,45
14,14,11,3,43,46
15,15,12,4,44,47
16,16,13,5,45,48
17,17,14,6,0,49
0,0,15,7,1,50
1,1,16,8,2,51
2,2,17,9,3,52
3,3,18,10,4,53
4,4,19,11,5,54
5,5,20,12,6,55
6,6,0,13,7,56
7,7,1,14,8,57
8,8,2,15,9,58
9,9,3,16,10,59
10,10,4,17,11,60
11,11,5,18,12,61
12,12,6,19,13,62
13,13,7,20,14,63
14,14,8,21,15,64
15,15,9,22,16,65
16,16,10,23,17,66
17,17,11,24,18,67
18,18,12,25,19,68
0,0,13,26,20,0
1,1,14,27,21,1
2,2,15,28,22,2
3,3,16,29,23,3
4,4,17,30,24,4
5,5,18,31,25,5
6,6,19,32,26,6
7,7,0,0,27,7
8,8,1,1,28,8
9,9,2,2,29,9
10,10,3,3,30,10
11,11,4,4,0,11
12,12,5,5,1,12
13,13,6,6,2,13
14,14,7,7,3,14
15,15,8,8,4,15
16,16,9,9,5,16
0,0,10,10,6,17
1,1,11,11,7,18
2,2,12,12,8,19
3,3,13,13,9,20
4,4,14,14,10,21
5,5,15,15,11,22
6,6,16,16,12,23
7,7,0,17,13,24
8,8,1,18,14,25
9,9,2,19,15,26
10,10,3,20,16,27
11,11,4,21,17,28
12,12,5,22,18,29
13,13,6,23,19,30
14,14,7,24,20,31
15,15,8,25,21,32
16,16,9,26,22,33
17,17,10,27,23,34
0,0,11,28,24,35
1,1,12,29,25,36
2,2,13,30,26,37
3,3,14,0,27,38
4,4,15,1,28,39
5,5,16,2,29,40
6,6,17,3,30,41
7,7,18,4,31,42
8,8,19,5,32,43
9,9,20,6,33,44
10,10,0,7,34,45
11,11,1,8,35,46
12,12,2,9,36,47
13,13,3,10,37,48
14,14,4,11,38,49
15,15,5,12,39,50
16,16,6,13,0,51
0,0,7,14,1,52
1,1,8,15,2,53
2,2,9,16,3,54
3,3,10,17,4,55
4,4,11,18,5,56
5,5,12,19,6,57
6,6,13,20,7,58
7,7,14,21,8,59
8,8,15,22,9,60
9,9,16,23,10,61
10,10,17,24,11,62
11,11,18,0,12,63
12,12,19,1,13,64
13,13,20,2,14,65
14,14,0,3,15,66
15,15,1,4,16,67
16,16,2,5,17,68
0,0,3,6,18,69
1,1,4,7,19,70
2,2,5,8,20,71
3,3,6,9,21,72
4,4,7,10,22,73
5,5,8,11,23,74
6,6,9,12,24,75
7,7,10,13,25,76
8,8,11,14,26,77
9,9,12,15,27,78
10,10,13,16,28,79
11,11,14,17,29,80
12,12,15,18,30,81
13,13,16,19,31,82
14,14,17,20,32,83
15,15,18,21,33,84
16,16,19,22,34,85
17,17,20,23,35,86
0,0,0,24,36,87
1,1,1,25,37,88
2,2,2,26,38,89
3,3,3,27,39,90
4,4,4,0,40,91
5,5,5,1,41,92
6,6,6,2,42,93
7,7,7,3,43,94
8,8,8,4,0,95
9,9,9,5,1,96
10,10,10,6,2,97
11,11,11,7,3,98
12,12,12,8,4,99
13,13,13,9,5,100
14,14,14,10,6,101
15,15,15,11,7,102
16,16,16,12,8,103
0,0,0,13,9,104
1,1,1,14,10,0
2,2,2,15,11,1
3,3,3,16,12,2
4,4,4,17,13,3
5,5,5,18,14,4
6,6,6,19,15,5
7,7,7,20,16,6
8,8,8,21,17,7
9,9,9,22,18,8
10,10,10,23,19,9
11,11,11,24,20,10
12,12,12,25,21,11
13,13,13,26,22,12
14,14,14,27,23,13
15,15,15,28,24,14
16,16,16,29,25,15
0,0,0,0,26,16
1,1,1,1,27,17
2,2,2,2,28,18
3,3,3,3,29,19
4,4,4,4,30,20
5,5,5,5,31,21
6,6,6,6,32,22
7,7,7,7,33,23
8,8,8,8,34,24
9,9,9,9,35,25
10,10,10,10,36,26
11,11,11,11,37,27
12,12,12,12,38,28
13,13,13,13,39,29
14,14,14,14,40,30
15,15,15,15,41,31
16,16,16,16,42,32
17,17,17,17,0,33
18,18,18,18,1,34
0,0,0,19,2,35
1,1,1,20,3,36
2,2,2,21,4,37
3,3,3,22,5,38
4,4,4,23,6,39
5,5,5,24,7,40
6,6,6,25,8,41
7,7,7,26,9,42
8,8,8,27,10,43
9,9,9,28,11,44
10,10,10,29,12,45
11,11,11,30,13,46
12,12,12,0,14,47
13,13,13,1,15,48
14,14,14,2,16,49
15,15,15,3,17,50
16,16,16,4,18,51
17,17,17,5,19,52
18,18,18,6,20,53
0,0,0,7,21,54
1,1,1,8,22,55
2,2,2,9,23,56
3,3,3,10,24,57
4,4,4,11,25,58
5,5,5,12,26,59
6,6,6,13,27,60
7,7,7,14,28,61
8,8,8,15,29,62
9,9,9,16,30,63
10,10,10,17,31,64
11,11,11,18,32,65
12,12,12,19,33,66
13,13,13,20,34,67
14,14,14,21,35,68
15,15,15,22,36,69
16,16,16,23,37,70
17,17,17,24,38,71
0,0,0,25,39,0
1,1,1,26,0,1
2,2,2,27,1,2
3,3,3,28,2,3
4,4,4,29,3,4
5,5,5,30,4,5
6,6,6,31,5,6
7,7,7,32,6,7
8,8,8,33,7,8
9,9,9,34,8,9
10,10,10,0,9,10
11,11,11,1,10,11
12,12,12,2,11,12
13,13,13,3,12,13
14,14,14,4,13,14
15,15,15,5,14,15
16,16,16,6,15,16
17,17,17,7,16,17
0,0,0,8,17,18
1,1,1,9,18,19
2,2,2,10,19,20
3,3,3,11,20,21
4,4,4,12,21,22
5,5,5,13,22,23
6,6,6,14,23,24
7,7,7,15,24,25
8,8,8,16,25,26
9,9,9,17,26,27
10,10,10,18,27,28
11,11,11,19,28,29
12,12,12,20,29,30
13,13,13,21,30,31
14,14,14,22,31,32
15,15,15,23,32,33
16,16,16,24,33,34
17,17,17,0,34,35
0,0,0,1,35,36
1,1,1,2,36,37
2,2,2,3,37,38
3,3,3,4,38,39
4,4,4,5,39,40
5,5,5,6,40,41
6,6,6,7,41,42
7,7,7,8,42,43
8,8,8,9,43,44
9,9,9,10,0,45
10,10,10,11,1,46
11,11,11,12,2,47
12,12,12,13,3,48
13,13,13,14,4,49
14,14,14,15,5,50
15,15,15,16,6,51
16,16,16,17,7,52
17,17,17,18,8,53
0,0,0,19,9,0
1,1,1,20,10,1
2,2,2,21,11,2
3,3,3,22,12,3
4,4,4,23,13,4
5,5,5,24,14,5
6,6,6,25,15,6
7,7,7,26,16,7
8,8,8,0,17,8
9,9,9,1,18,9
10,10,10,2,19,10
11,11,11,3,20,11
12,12,12,4,21,12
13,13,13,5,22,13
14,14,14,6,23,14
15,15,15,7,24,15
16,16,16,8,25,16
17,17,17,9,26,17
18,18,18,10,27,18
0,0,0,11,28,19
1,1,1,12,29,20
2,2,2,13,30,21
3,3,3,14,31,22
4,4,4,15,32,23
5,5,5,16,33,24
6,6,6,17,34,25
7,7,7,18,35,26
8,8,8,19,36,27
9,9,9,20,37,28
10,10,10,21,38,29
11,11,11,22,39,30
12,12,12,23,40,31
13,13,13,24,41,32
14,14,14,0,42,33
15,15,15,1,43,34
16,16,16,2,44,35
17,17,17,3,45,36
18,18,18,4,46,37
19,19,19,5,0,38
0,0,0,6,1,39
1,1,1,7,2,40
2,2,2,8,3,41
3,3,3,9,4,42
4,4,4,10,5,43
5,5,5,11,6,44
6,6,6,12,7,45
7,7,7,13,8,46
8,8,8,14,9,47
9,9,9,15,10,48
10,10,10,16,11,49
11,11,11,17,12,50
12,12,12,18,13,51
13,13,13,19,14,52
14,14,14,20,15,53
15,15,15,21,16,54
16,16,16,22,17,55
17,17,17,23,18,56
0,0,0,24,19,57
1,1,1,25,20,58
2,2,2,26,21,59
3,3,3,27,22,60
4,4,4,28,23,61
5,5,5,29,24,62
6,6,6,30,25,63
7,7,7,31,26,64
8,8,8,32,27,65
9,9,9,33,28,66
10,10,10,0,29,67
11,11,11,1,30,68
12,12,12,2,31,69
13,13,13,3,32,70
14,14,14,4,33,71
15,15,15,5,34,72
