,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
116,1,1,0,0,1,0,0,0,0,1,0,1
117,1,1,0,1,0,0,0,0,0,0,0,0
118,1,1,1,1,0,0,0,0,0,0,0,0
119,0,0,0,0,0,1,0,0,1,0,1,0
120,1,1,1,1,0,0,0,0,0,0,0,0
121,0,0,0,0,1,0,0,0,0,0,0,0
122,1,0,1,0,0,0,0,0,0,0,0,0
123,1,1,0,0,1,0,0,0,1,0,0,0
124,1,1,1,0,0,0,0,1,0,1,0,0
125,1,1,0,1,0,1,0,0,0,0,1,0
126,1,1,1,0,0,0,0,0,0,0,0,0
127,1,1,0,1,0,0,0,0,0,0,0,0
128,1,1,1,0,0,0,0,0,0,0,0,0
129,1,1,0,0,0,0,0,0,0,0,0,0
130,1,1,1,0,0,0,0,0,0,0,0,0
131,1,1,0,0,0,0,0,0,0,0,0,0
132,1,0,1,0,0,1,0,1,0,0,0,0
133,1,1,1,0,0,1,0,0,0,0,0,0
134,1,2,1,1,0,0,0,0,0,0,0,0
135,0,0,0,1,0,0,0,0,0,0,0,0
136,1,1,1,0,0,0,0,0,0,0,0,0
137,1,1,1,0,1,0,0,0,0,1,0,0
138,1,0,1,0,0,1,1,1,0,0,0,0
139,1,1,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,1,1,0,0,0,0
141,0,0,1,1,0,1,1,1,0,0,1,0
142,0,0,0,1,0,0,0,0,0,0,0,0
143,0,0,1,0,0,0,1,1,0,0,0,0
144,0,0,0,0,0,0,1,1,0,0,0,0
145,1,1,0,1,0,1,0,0,0,0,0,0
146,0,0,1,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,1,1,0,0
148,1,1,0,0,0,1,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1,0,0,0,0,0,0,0,0,0,0
151,1,1,0,0,0,0,0,0,0,0,0,0
152,1,1,0,1,0,0,0,0,0,0,0,0
153,1,1,1,0,1,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0
155,1,1,1,1,1,0,0,0,0,0,0,0
156,1,1,0,0,0,0,0,0,0,0,0,0
157,1,1,1,0,0,0,0,0,0,0,0,0
158,1,1,0,1,1,1,0,0,0,0,0,0
159,1,0,0,1,0,0,0,0,0,0,0,0
160,1,1,1,0,0,0,0,0,0,0,0,0
161,0,0,0,1,0,0,1,0,1,0,0,0
162,1,1,1,1,0,1,0,0,0,0,0,0
163,1,1,0,1,0,0,0,0,0,0,1,0
164,0,0,1,0,0,1,0,0,0,0,0,0
165,0,0,1,1,1,0,1,1,0,0,0,0
166,0,0,0,0,1,0,0,0,0,0,0,0
167,1,1,0,0,1,0,0,0,0,1,0,0
168,1,1,1,0,0,0,0,0,0,0,0,0
169,0,0,1,0,0,0,0,0,0,0,0,0
170,1,1,0,1,1,1,0,0,1,0,0,1
171,1,1,0,0,1,0,0,0,1,0,0,0
172,1,1,0,0,1,0,0,0,1,0,0,0
173,1,1,1,0,0,1,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0
175,1,1,1,1,0,0,0,0,0,0,1,0
176,1,1,0,1,0,0,0,0,0,0,0,0
177,1,1,1,1,0,0,0,0,0,0,0,0
178,1,0,1,0,0,0,1,1,0,0,1,0
179,1,1,1,0,0,0,0,0,0,1,0,0
180,1,1,0,0,0,0,0,0,1,0,0,0
181,0,0,1,0,0,0,0,0,0,0,0,0
182,1,1,0,0,0,1,0,0,0,0,0,0
183,0,0,0,0,1,0,0,0,0,0,0,0
184,1,1,1,1,0,0,0,0,0,0,0,0
185,1,1,0,0,1,0,0,0,0,0,0,0
186,1,1,1,0,0,0,0,0,0,0,0,0
187,0,0,0,1,0,0,0,0,0,0,0,0
188,1,1,0,1,1,0,0,0,0,0,0,0
189,1,1,0,0,0,0,0,0,0,0,1,0
190,0,1,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0
192,1,1,1,1,0,0,0,0,0,0,0,0
193,1,1,1,0,0,0,0,0,0,0,0,0
194,0,0,1,0,1,0,0,0,0,0,0,0
195,1,1,1,0,0,1,0,0,0,0,0,0
196,0,0,0,0,0,0,1,1,1,0,0,0
197,1,1,0,1,0,0,0,0,0,0,0,0
198,1,1,1,0,1,0,0,0,0,1,0,0
199,1,1,0,0,1,0,0,0,0,0,0,0
200,1,1,1,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0
203,0,0,1,1,1,0,0,0,0,0,0,0
204,1,1,0,1,0,0,0,0,0,0,1,0
205,1,1,1,0,0,0,0,0,0,0,0,0
206,1,1,1,0,0,0,0,0,0,1,0,0
207,0,0,1,1,0,0,0,0,0,0,0,0
208,1,1,1,0,0,0,0,0,0,1,0,0
209,1,1,1,0,0,0,0,0,0,0,0,0
210,1,1,1,0,1,0,0,0,0,0,0,0
211,1,1,0,1,1,0,0,0,0,0,0,0
212,2,1,1,0,0,0,0,0,0,0,0,0
