,feature,probabilities
53,"(1, 1, 0, 1, 0, 1)","(0.037, 0.017, 0.2671, 0.0017, 0.1062, 0.0087)"
54,"(1, 1, 0, 1, 1, 0)","(0.0349, 0.0173, 0.2731, 0.0014, 0.0009, 0.0632)"
55,"(1, 1, 0, 1, 1, 1)","(0.0362, 0.0174, 0.2649, 0.0014, 0.001, 0.0083)"
56,"(1, 1, 1, 0, 0, 0)","(0.027, 0.0157, 0.0058, 0.1487, 0.0928, 0.0455)"
57,"(1, 1, 1, 0, 0, 1)","(0.0281, 0.0157, 0.0056, 0.1507, 0.0981, 0.0059)"
58,"(1, 1, 1, 0, 1, 0)","(0.0265, 0.016, 0.0058, 0.1272, 0.0009, 0.0436)"
59,"(1, 1, 1, 0, 1, 1)","(0.0275, 0.016, 0.0055, 0.1289, 0.0009, 0.0056)"
60,"(1, 1, 1, 1, 0, 0)","(0.0269, 0.0158, 0.0056, 0.0016, 0.0936, 0.043)"
61,"(1, 1, 1, 1, 0, 1)","(0.0279, 0.0158, 0.0053, 0.0017, 0.0989, 0.0055)"
62,"(1, 1, 1, 1, 1, 0)","(0.0263, 0.0161, 0.0055, 0.0014, 0.0009, 0.0412)"
63,"(1, 1, 1, 1, 1, 1)","(0.0273, 0.0162, 0.0053, 0.0014, 0.0009, 0.0053)"
