,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
116,1,1,0,0,1,0,0,0,0,0,0,0
117,1,1,1,1,0,0,0,0,0,0,0,1
118,1,1,1,0,0,0,0,0,0,0,1,0
119,0,0,0,1,0,0,0,0,0,0,0,0
120,1,1,1,1,0,0,0,0,0,0,0,0
121,1,1,1,0,0,0,0,0,0,0,0,0
122,1,1,0,1,1,0,0,0,0,0,0,0
123,1,1,1,0,0,0,0,0,0,0,0,0
124,1,0,1,1,0,1,1,1,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,1,0
126,1,1,1,1,0,0,0,0,0,0,0,0
127,1,1,1,0,0,0,0,0,0,0,0,0
128,1,0,0,1,0,0,0,0,0,0,0,1
129,1,1,1,0,1,0,0,0,0,0,0,0
130,1,1,1,0,0,0,0,0,0,0,0,0
131,0,0,0,1,0,1,0,0,0,0,0,0
132,1,1,1,0,1,0,0,0,0,0,0,0
133,1,1,1,1,0,1,0,0,0,0,0,0
134,0,0,0,1,0,0,1,1,1,0,0,0
135,0,0,0,0,0,0,0,0,0,1,0,0
136,1,1,1,0,1,0,0,0,0,0,0,0
137,1,1,0,0,0,1,0,0,0,0,0,0
138,0,0,1,1,0,0,1,1,1,0,0,0
139,0,0,1,0,1,0,0,0,0,0,0,0
140,1,1,2,0,0,0,0,0,0,0,0,0
141,1,1,1,1,0,0,0,0,0,0,0,0
142,0,0,0,0,1,0,0,0,0,0,0,0
143,1,1,1,1,0,0,0,0,0,0,0,0
144,1,1,1,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,1,1,1,1,1,0,0
146,0,0,0,0,1,0,0,0,0,0,0,0
147,1,1,1,0,0,0,0,0,0,0,0,0
148,1,1,1,1,0,0,0,0,0,0,0,0
149,0,0,0,0,1,1,1,1,0,0,0,0
150,0,0,1,0,0,0,0,0,0,0,0,0
151,1,1,1,1,0,0,0,0,0,0,0,0
152,1,1,1,0,0,1,0,0,0,0,1,0
153,0,0,0,1,0,1,0,0,0,0,0,0
154,1,1,1,0,0,0,0,0,0,0,0,0
155,1,1,1,0,0,0,0,0,0,0,0,0
156,0,0,0,1,1,0,0,0,0,0,0,0
157,1,1,1,0,0,0,0,0,0,0,0,0
158,1,1,1,1,0,1,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,1,0
160,1,1,1,0,0,0,0,0,0,1,0,0
161,1,1,1,0,0,1,0,0,0,0,0,0
162,1,1,0,0,0,0,0,0,0,0,0,0
163,1,1,1,1,1,0,1,0,0,0,0,0
164,1,0,1,0,1,1,0,0,0,0,0,0
165,1,1,0,0,0,0,0,0,0,1,0,0
166,1,1,1,0,1,0,0,1,0,0,0,0
167,1,0,0,0,0,0,0,0,1,0,0,1
168,2,1,0,1,0,0,0,0,0,0,1,0
169,2,1,1,0,0,0,0,0,0,0,0,0
170,1,1,1,1,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,1,0
172,1,1,1,0,0,0,0,0,0,1,0,0
173,1,1,0,0,0,0,0,0,0,0,0,1
174,1,1,1,0,1,0,0,0,0,0,0,0
175,1,1,1,1,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0
177,1,1,1,1,0,1,0,0,0,0,1,0
178,1,1,1,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,1,0,0
180,1,1,1,0,0,0,0,0,0,0,1,0
