,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
977,7,6,5,3,3,2
978,8,6,5,3,3,2
979,5,5,5,3,3,2
980,6,6,5,3,3,2
981,5,5,5,4,2,2
982,7,6,5,3,2,2
983,7,7,5,3,3,3
984,7,5,5,3,3,2
985,6,6,5,4,2,0
986,7,5,5,3,3,2
987,6,6,5,3,2,2
988,6,6,5,3,3,2
989,7,6,6,3,2,1
990,5,5,5,4,2,1
991,6,7,5,3,3,3
992,5,5,5,3,3,2
993,6,6,5,4,3,3
994,5,5,5,3,2,1
995,6,6,5,3,2,3
996,6,6,5,3,3,2
