,s0,s1,s2,s3,s4,s5,q0,q1,q2,q3,q4,q5
0,7,8,5,3,3,2,0,1,0,0,0,1
1,7,8,5,3,2,2,0,1,0,0,0,1
2,7,8,5,3,2,2,0,1,0,0,0,1
3,7,8,5,3,2,2,0,1,1,0,0,1
4,7,8,5,3,2,2,0,1,1,0,0,1
5,7,8,5,3,2,2,1,1,1,0,0,1
6,7,8,5,3,2,3,1,1,1,0,0,0
7,7,8,5,3,2,3,1,0,1,0,0,0
8,7,8,5,3,2,3,1,0,1,0,0,0
9,7,8,5,3,2,3,1,0,1,0,0,0
10,7,8,5,3,2,3,1,0,1,0,0,0
11,6,8,4,3,2,3,1,0,1,0,0,0
12,6,8,4,3,2,3,1,0,1,0,1,0
13,6,8,5,3,2,3,1,0,0,0,1,0
14,6,8,5,3,2,3,1,1,0,0,1,0
15,7,8,5,3,2,3,0,1,0,0,1,0
16,7,7,5,3,2,3,0,1,0,0,1,0
17,7,7,5,3,2,3,0,1,0,0,1,0
18,7,7,5,3,2,3,0,1,0,0,1,0
19,7,7,5,3,2,3,0,1,0,0,1,0
20,7,7,5,3,2,3,0,1,0,0,1,0
21,7,7,5,3,2,3,1,1,0,0,1,0
22,7,7,5,3,3,3,1,1,0,0,0,0
23,7,7,5,3,3,3,1,1,1,0,0,0
24,7,8,5,3,3,3,1,0,1,1,0,0
25,7,8,5,3,3,3,1,0,1,1,0,0
26,7,8,5,3,3,3,1,0,1,1,0,0
27,7,8,5,3,3,3,1,0,1,1,0,0
28,7,7,5,3,3,3,1,0,1,1,0,0
29,7,7,5,3,3,3,1,0,1,1,0,0
30,7,7,5,2,3,3,1,0,1,1,0,0
31,7,6,4,2,3,2,0,0,1,1,0,0
32,7,6,4,2,3,2,0,0,1,1,0,0
33,7,6,5,2,3,2,0,0,0,1,0,0
34,7,6,5,3,3,2,1,1,0,0,0,0
35,7,6,5,3,3,2,1,1,0,0,0,0
36,7,6,5,3,3,1,1,1,0,0,0,0
37,7,6,5,3,3,1,1,1,0,0,0,0
38,7,6,5,3,3,1,1,1,0,0,0,0
39,7,6,5,3,3,1,1,1,0,0,0,0
40,7,6,5,3,3,1,1,1,0,0,0,0
41,7,6,5,3,3,1,1,1,0,0,0,0
42,7,6,5,3,3,1,1,1,0,0,0,0
43,7,6,5,3,2,1,1,1,0,0,0,0
44,8,7,5,3,2,1,0,0,0,0,0,0
45,7,6,5,3,2,1,0,0,1,0,0,0
46,7,6,5,3,2,1,0,0,1,0,0,0
47,7,6,5,3,2,1,0,0,1,0,0,0
48,7,6,5,3,2,1,0,0,1,0,0,0
49,7,6,5,3,2,1,0,0,1,0,0,0
50,7,6,5,3,2,1,0,0,1,0,0,0
51,7,6,4,3,2,1,1,1,1,0,0,0
52,7,6,4,3,2,1,1,1,1,0,0,0
53,7,6,4,3,2,1,1,1,1,0,0,0
