,s0,s1,s2,s3,s4,s5,q0,q1,q2,q3,q4,q5
0,1,3,1,1,1,0,1,1,1,0,0,2
1,2,4,2,1,0,1,0,0,0,0,0,1
2,2,4,2,1,0,1,0,0,0,0,0,1
3,2,4,2,1,0,1,0,0,0,0,1,1
4,2,4,2,1,0,1,0,0,0,0,1,1
5,2,4,2,1,0,1,1,1,0,0,1,1
6,2,4,2,1,0,2,1,1,0,0,1,0
7,2,3,2,1,0,2,1,1,0,0,1,0
8,2,3,2,1,0,2,1,1,0,0,1,0
9,2,3,2,1,0,2,1,1,0,0,1,0
10,2,3,2,1,0,2,1,1,0,0,1,0
11,1,3,1,1,0,2,1,1,1,0,1,0
12,1,3,1,1,0,2,1,1,1,0,1,0
13,1,3,1,1,1,2,1,1,1,0,0,0
14,1,3,1,1,1,2,1,1,1,0,0,0
15,2,4,1,1,1,2,0,0,1,0,0,0
16,2,3,1,1,1,2,0,0,1,0,0,0
17,2,3,1,1,1,2,0,0,1,0,0,0
18,2,3,1,1,1,2,0,0,1,0,0,0
19,2,3,1,1,1,2,0,0,1,0,0,0
20,2,3,1,1,1,2,0,0,1,0,0,0
21,2,3,2,1,1,2,1,0,0,0,0,0
22,2,3,2,1,1,2,1,0,0,0,0,0
23,2,3,2,1,1,2,1,0,0,0,0,0
24,2,3,2,1,1,2,1,0,0,0,0,0
25,2,3,2,1,1,2,1,0,0,1,0,0
26,2,3,2,1,1,2,1,0,0,1,0,0
27,2,3,2,1,1,2,1,0,0,1,0,0
28,2,2,2,1,1,2,1,0,0,1,0,0
29,2,2,2,1,1,2,1,0,0,1,0,0
30,2,2,2,0,1,2,2,1,0,1,0,0
31,2,1,1,0,1,1,1,1,0,1,0,0
32,2,1,1,0,1,1,1,1,0,1,0,0
33,2,1,1,0,1,1,1,1,1,1,0,0
34,2,1,1,0,1,1,1,1,1,1,0,0
35,2,1,1,1,1,1,1,1,1,0,0,0
36,2,1,1,1,1,0,1,1,1,0,0,0
37,2,1,1,1,1,0,1,1,1,0,0,0
38,2,1,1,1,1,0,1,1,1,0,0,0
39,2,1,1,1,1,0,1,1,1,0,0,0
40,3,2,1,1,1,0,0,0,1,0,0,0
41,3,2,1,1,1,0,0,0,1,0,0,0
42,3,2,1,1,1,0,0,0,1,0,0,0
43,3,2,2,1,0,0,0,0,0,0,1,0
44,3,2,2,1,0,0,1,0,0,0,1,0
45,2,1,2,1,0,0,1,0,0,0,1,0
46,2,1,2,1,0,0,1,0,0,0,1,0
47,2,1,2,1,0,0,1,1,0,0,1,0
48,2,1,2,1,0,0,1,1,0,0,1,0
49,2,1,2,1,0,0,1,1,0,0,1,0
50,2,1,2,1,0,0,1,1,0,0,1,0
51,2,1,1,1,0,0,1,1,0,0,1,0
52,2,1,1,1,0,0,1,1,0,0,1,0
53,2,1,1,1,1,0,1,1,0,0,0,0
54,3,1,1,1,1,0,0,1,0,0,0,0
55,3,1,1,1,1,0,0,1,1,0,0,0
56,3,1,1,1,1,0,0,1,1,1,0,0
57,3,2,1,1,1,0,0,0,1,1,0,0
58,3,2,1,1,1,0,1,1,1,1,0,0
59,3,2,1,1,1,0,1,1,1,1,0,0
60,3,2,1,1,1,0,1,1,1,1,0,0
61,2,2,1,1,1,0,1,1,1,1,0,0
62,2,2,1,1,1,0,1,1,1,1,0,0
63,2,2,1,1,1,0,1,1,1,1,0,0
64,2,2,1,1,1,0,1,1,1,1,0,0
65,2,2,2,0,1,0,1,1,0,1,0,0
66,2,2,2,1,1,0,1,1,0,0,0,1
67,2,2,2,1,1,0,1,2,0,0,0,1
68,3,3,2,1,1,0,0,1,0,0,0,1
69,3,3,2,1,1,0,0,1,0,0,0,1
70,2,2,2,1,1,0,0,1,0,0,0,1
71,2,2,2,1,1,0,0,1,0,0,0,1
72,2,2,2,1,1,0,0,1,0,0,0,1
73,2,2,1,1,1,0,0,1,1,0,0,1
74,2,2,1,1,1,0,0,1,1,0,0,1
75,2,2,1,1,1,0,1,1,1,0,0,1
76,2,2,1,1,1,1,1,1,1,0,0,0
77,2,3,1,1,1,1,1,0,1,0,0,0
78,2,3,1,1,1,1,1,0,1,0,0,0
79,2,3,1,1,1,1,1,0,1,0,0,0
80,2,3,1,1,1,1,1,0,1,0,0,0
81,2,3,1,1,1,1,1,0,1,0,0,0
82,2,3,1,1,1,1,1,0,1,0,1,0
83,2,3,2,1,0,1,1,0,0,0,1,0
84,1,3,2,1,0,1,1,1,0,0,1,0
85,2,3,2,1,0,1,0,1,0,0,1,0
86,2,3,2,1,0,1,0,1,0,0,1,0
87,2,2,2,1,0,1,0,1,0,0,1,0
88,2,2,2,1,0,1,0,1,0,0,1,0
89,2,2,2,1,0,1,0,1,0,0,1,0
90,2,2,2,1,0,1,0,1,0,0,1,0
91,2,2,2,1,0,1,1,1,0,0,1,0
92,2,2,2,1,1,1,1,1,0,0,0,0
93,2,2,2,1,1,1,1,1,1,0,0,0
94,2,3,2,1,1,1,1,0,1,1,0,0
95,2,3,1,1,1,1,1,0,1,1,0,0
96,2,3,1,0,1,1,1,0,1,1,0,0
97,2,3,1,0,1,1,1,0,1,1,0,0
98,1,2,1,0,1,1,1,0,1,1,0,0
99,1,2,1,0,1,1,1,0,1,1,0,0
100,1,2,1,0,1,1,1,0,1,1,0,0
101,2,2,1,0,1,1,0,0,1,1,0,0
102,2,2,1,0,1,1,0,0,1,1,0,0
103,2,2,2,0,1,1,0,0,0,1,0,0
104,2,2,2,1,1,1,1,1,0,0,0,0
105,2,2,2,1,1,1,1,1,0,0,0,0
106,2,2,2,1,1,0,1,1,0,0,0,0
107,2,1,2,1,1,0,1,1,0,0,0,0
108,2,1,2,1,1,0,1,1,0,0,0,0
109,2,1,2,1,1,0,1,1,0,0,0,0
