,Feature,Probabilities
41,"(1, 0, 1, 0, 0, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
42,"(1, 0, 1, 0, 1, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
43,"(1, 0, 1, 0, 1, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
44,"(1, 0, 1, 1, 0, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
45,"(1, 0, 1, 1, 0, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
46,"(1, 0, 1, 1, 1, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
47,"(1, 0, 1, 1, 1, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
48,"(1, 1, 0, 0, 0, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
49,"(1, 1, 0, 0, 0, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
50,"(1, 1, 0, 0, 1, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
51,"(1, 1, 0, 0, 1, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
52,"(1, 1, 0, 1, 0, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
53,"(1, 1, 0, 1, 0, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
54,"(1, 1, 0, 1, 1, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
55,"(1, 1, 0, 1, 1, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
56,"(1, 1, 1, 0, 0, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
57,"(1, 1, 1, 0, 0, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
58,"(1, 1, 1, 0, 1, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
59,"(1, 1, 1, 0, 1, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
60,"(1, 1, 1, 1, 0, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
61,"(1, 1, 1, 1, 0, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
62,"(1, 1, 1, 1, 1, 0)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
63,"(1, 1, 1, 1, 1, 1)","(0.06166666666666667, 0.05843333333333333, 0.0519, 0.03238333333333333, 0.0246, 0.016416666666666666)"
