,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
117,1,2,0,0,1,1,0,0,0,0,0,0
118,0,1,0,0,0,0,0,0,0,1,0,0
119,1,1,1,1,1,0,0,0,0,0,0,0
120,1,1,1,1,1,0,0,0,0,0,0,0
121,0,0,0,0,1,0,0,0,0,0,0,0
122,1,0,1,0,0,0,0,1,0,1,0,0
123,0,0,0,0,1,0,0,0,0,0,0,0
124,0,0,0,0,1,0,0,0,0,0,0,0
125,0,0,1,0,1,0,1,1,0,0,0,0
126,1,1,1,0,1,0,0,0,0,0,0,1
127,1,1,1,0,0,0,0,0,0,0,1,0
128,1,1,0,0,0,0,0,0,0,0,1,0
129,1,1,1,0,0,0,0,0,0,0,0,0
130,1,1,0,0,1,0,0,0,1,1,0,0
131,0,0,1,0,0,0,0,0,0,0,1,0
132,0,0,0,0,0,0,0,0,0,1,0,0
133,1,1,0,0,0,0,0,0,1,0,0,0
134,0,0,1,0,1,0,1,1,0,0,0,0
135,2,1,1,0,1,0,0,0,0,1,0,0
136,0,0,1,0,0,0,0,0,0,0,0,0
137,1,1,0,0,0,0,0,0,0,0,0,0
138,1,1,0,1,0,0,0,0,0,0,0,0
139,1,1,1,0,0,1,0,0,0,1,0,0
140,1,1,0,1,0,1,1,0,1,0,0,0
141,1,1,1,0,0,1,0,0,0,0,0,0
142,1,1,0,1,0,0,0,0,1,0,0,0
143,1,1,0,0,0,1,0,0,0,0,0,0
144,0,0,1,0,1,0,0,0,0,0,0,0
145,1,1,1,1,1,0,0,0,0,0,0,0
146,1,1,0,0,0,1,1,0,1,0,0,0
147,0,0,1,0,1,0,0,0,0,0,0,1
148,1,1,0,0,0,0,0,0,1,1,0,0
149,1,1,0,0,0,0,0,0,1,0,1,0
150,0,1,1,1,0,0,1,0,0,0,0,0
151,1,1,1,0,1,0,0,0,0,0,0,0
152,0,0,0,0,1,0,0,0,0,0,0,0
153,0,0,1,1,0,0,0,0,0,0,0,0
154,1,1,0,0,1,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0
156,1,1,0,1,1,0,0,0,0,0,0,0
157,0,0,1,0,0,0,1,1,0,0,0,0
158,0,1,1,0,0,1,0,0,0,0,0,0
159,1,1,1,0,0,0,0,0,0,0,0,0
160,1,1,0,0,0,0,0,0,0,0,0,0
161,1,1,0,0,0,1,0,0,0,0,0,0
162,1,1,0,0,0,0,0,0,0,0,0,0
163,0,0,1,1,0,0,1,1,0,0,0,0
164,1,1,1,0,0,0,0,0,0,0,0,0
165,0,0,1,0,1,0,1,1,0,0,0,0
166,1,1,1,0,0,0,0,0,0,0,0,1
167,1,1,0,1,0,0,0,1,1,0,0,0
168,1,1,1,0,0,1,0,0,0,0,0,0
169,1,1,1,1,0,0,0,0,0,0,0,0
170,0,0,0,1,0,0,1,1,0,0,1,0
171,0,0,1,0,1,0,1,1,0,0,0,0
172,1,1,1,0,1,0,0,0,0,0,0,0
173,0,0,0,0,0,1,1,1,1,0,0,0
174,1,1,0,0,1,0,0,0,0,0,0,0
175,1,1,1,0,0,0,0,0,0,0,0,0
176,0,0,0,0,1,0,1,1,1,0,0,0
177,0,0,1,0,1,0,0,0,0,0,0,0
178,0,0,1,1,0,0,0,0,0,0,0,0
179,0,0,1,1,0,0,1,1,0,0,0,0
180,1,1,0,0,0,0,0,0,1,0,1,0
181,1,1,1,1,0,1,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,1,0,0,1
183,0,0,1,0,1,0,0,0,0,0,0,0
184,0,0,0,0,1,0,0,0,0,0,0,0
185,0,0,1,1,0,1,0,0,0,0,0,0
186,0,0,0,1,0,0,0,0,0,0,0,0
187,1,1,1,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,1,1,1,0,0,1
189,1,1,0,1,0,0,0,0,1,0,0,0
190,0,0,0,1,0,1,1,1,0,0,0,0
191,2,1,1,0,0,0,0,0,0,0,1,0
192,1,1,1,0,1,0,0,0,0,1,0,1
193,0,0,0,0,0,1,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,1,0
195,1,0,1,0,0,0,0,1,0,0,0,0
196,1,2,1,0,1,1,0,0,0,0,0,0
197,1,1,1,0,0,0,0,0,0,1,0,0
198,1,1,1,0,1,0,0,0,0,0,0,0
199,1,1,0,0,0,0,0,0,1,0,0,0
200,1,0,1,0,0,1,0,1,0,0,1,0
201,1,1,0,0,0,0,0,0,0,0,0,0
202,1,1,1,1,0,1,0,0,0,0,0,0
203,0,0,0,0,1,0,1,0,1,0,0,0
204,1,1,0,1,1,0,0,0,1,0,0,1
205,1,1,1,1,0,0,0,0,0,0,0,0
206,1,1,0,1,1,0,0,0,0,0,0,0
207,1,1,0,0,1,0,0,0,1,0,0,0
208,1,1,1,0,0,0,0,0,0,0,0,0
209,1,0,1,0,0,0,0,0,0,0,0,0
210,1,1,1,0,0,0,0,0,0,0,0,0
211,1,0,0,1,0,0,0,0,0,0,0,0
212,1,1,1,1,1,0,0,0,0,0,0,0
213,0,0,0,0,0,0,1,1,1,0,0,0
214,1,0,1,1,0,0,0,0,0,0,0,0
215,0,0,0,1,1,0,0,0,0,0,0,0
216,0,0,0,1,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,1,1,0,0,0,0
218,0,0,1,1,0,0,0,0,0,0,0,0
219,1,1,1,0,1,1,0,0,0,0,0,0
220,1,1,1,0,0,1,0,0,0,0,0,0
221,0,0,1,0,0,1,0,0,0,1,0,0
222,1,0,1,1,0,0,0,0,0,0,0,0
223,1,1,1,0,0,0,0,0,0,0,0,0
224,1,1,1,0,0,0,0,0,0,0,0,0
225,1,0,1,1,0,1,0,0,0,0,0,0
226,0,0,1,0,1,1,0,0,0,0,0,0
227,1,1,0,0,0,0,0,0,0,0,0,0
228,0,0,0,1,0,0,0,0,1,0,0,0
229,1,1,1,0,0,0,0,0,0,1,0,0
230,0,0,1,1,0,0,0,0,0,0,0,0
231,1,1,1,0,0,0,0,0,0,1,0,0
232,1,1,0,0,0,0,0,0,0,1,0,0
233,0,0,1,0,0,0,0,0,0,0,0,0
234,1,1,0,0,0,0,0,0,0,0,1,0
235,0,0,0,1,0,1,1,1,1,0,0,0
236,1,1,1,0,1,0,0,0,0,0,0,0
237,0,0,1,0,0,0,1,1,0,0,0,0
238,0,0,1,0,0,0,1,1,0,0,0,0
239,1,1,0,0,0,0,0,0,0,0,0,0
240,1,1,1,0,1,0,0,0,0,0,0,0
241,1,1,0,0,0,0,0,0,0,0,1,0
242,1,1,1,0,0,0,0,1,0,0,1,0
243,1,1,1,0,0,0,0,0,0,0,0,0
244,1,1,1,1,0,0,0,0,0,0,0,0
245,1,1,1,0,0,1,0,0,0,0,0,0
246,0,1,0,0,0,0,1,1,0,0,0,0
247,0,0,0,0,0,0,1,1,1,0,0,0
248,0,0,0,0,0,0,0,0,0,0,1,0
249,1,1,0,1,0,0,0,0,0,0,0,0
250,1,1,1,1,0,0,0,0,0,0,0,0
251,0,0,1,1,0,0,1,1,0,0,0,0
252,1,0,1,0,1,0,0,0,0,0,0,0
253,0,0,0,0,0,0,1,1,1,0,0,0
254,1,1,1,0,0,0,0,0,0,0,0,0
255,1,1,1,0,0,0,0,0,0,0,1,0
256,1,1,1,1,0,0,0,0,0,0,0,0
