,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
514,0,0,1,0,0,0,0,0,0,0,0,0
515,1,1,0,1,1,0,0,0,0,0,0,0
516,0,0,0,0,1,0,1,1,1,0,0,0
517,1,1,1,0,0,0,0,0,0,0,0,0
518,1,1,1,0,0,0,0,0,0,1,0,1
519,1,1,0,0,0,0,0,0,1,0,0,0
520,0,0,0,0,1,0,0,0,0,1,0,0
521,1,1,1,0,0,0,0,0,0,0,0,0
522,0,0,1,0,0,1,0,0,0,0,0,0
523,1,1,1,0,0,1,0,0,0,1,0,0
524,1,1,1,1,1,1,1,0,0,0,0,0
525,2,1,1,1,1,0,0,0,0,0,0,0
526,1,1,1,0,0,0,0,0,0,0,0,0
527,1,1,1,1,0,0,0,0,0,0,0,0
528,1,1,0,1,0,0,0,0,1,0,0,0
529,1,1,1,0,0,0,0,0,0,1,0,0
530,2,1,0,0,0,0,0,0,1,1,0,1
531,1,1,1,1,0,0,0,0,0,0,0,0
532,1,0,1,1,0,0,0,1,0,0,0,0
533,1,1,0,1,0,0,0,0,1,0,0,0
534,0,0,0,0,0,0,0,0,0,0,1,0
535,1,1,0,1,0,0,0,0,0,0,0,0
536,1,1,1,1,0,0,0,0,0,0,1,0
537,1,1,0,1,0,0,0,0,0,0,0,0
538,1,1,0,1,0,0,0,0,0,0,0,0
539,0,0,0,0,1,0,0,0,0,0,0,0
540,1,1,0,1,1,1,0,0,0,0,0,0
541,0,0,1,1,1,1,0,0,0,0,0,0
542,1,1,1,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0,0,0,0,0,0
545,1,1,0,1,1,0,0,0,0,0,0,0
546,1,1,1,0,1,0,0,0,0,0,0,0
547,1,1,1,0,0,1,0,0,0,0,0,0
548,1,1,1,1,0,0,0,0,0,0,0,0
549,0,0,0,0,0,0,0,0,0,0,1,0
550,1,1,1,1,0,0,0,0,0,0,0,0
551,1,1,0,1,0,0,0,0,0,0,0,0
552,1,1,0,0,0,1,0,0,1,1,0,0
553,1,1,1,0,1,0,0,0,0,0,0,0
554,0,1,0,0,0,0,0,0,0,0,0,0
555,1,1,1,0,0,0,0,0,0,0,1,0
556,1,1,1,0,1,0,0,0,0,0,0,0
557,1,1,1,0,0,0,0,0,0,1,0,0
558,1,1,1,0,0,0,0,0,0,1,0,0
559,0,0,0,0,0,0,0,0,0,0,0,0
560,1,1,1,1,1,0,0,0,0,0,0,0
561,1,0,1,0,0,0,1,1,0,0,0,0
562,0,0,0,0,0,0,1,1,0,0,0,0
563,0,0,0,0,1,0,0,0,1,0,0,1
564,1,1,0,1,0,1,0,0,0,0,1,0
565,1,1,0,1,1,0,0,0,0,0,0,0
566,1,0,0,0,0,0,0,0,0,1,0,0
567,0,0,1,0,0,0,0,0,0,0,0,0
568,1,1,1,0,0,0,0,0,0,1,0,0
569,1,1,1,0,0,0,0,0,0,0,0,0
570,0,0,1,0,1,0,0,0,0,0,0,0
571,1,1,1,1,0,0,0,0,0,0,0,0
572,1,1,1,0,1,0,0,0,0,0,0,0
573,1,1,1,0,0,0,0,0,0,0,0,0
574,1,1,1,0,0,1,0,0,0,0,0,0
575,1,1,0,0,1,0,0,0,0,0,0,0
576,1,1,0,1,0,1,0,0,0,0,0,0
577,1,1,0,1,0,0,0,0,0,0,0,0
578,1,1,1,0,0,0,0,0,0,0,0,0
579,0,0,0,1,0,0,0,0,0,0,0,0
580,1,1,0,1,0,0,0,0,0,0,0,0
581,1,1,1,1,0,0,0,0,0,0,0,0
582,1,1,1,0,0,0,0,0,0,0,0,0
583,0,0,0,0,0,0,0,0,0,0,1,0
584,1,1,1,0,0,0,0,0,0,0,0,0
585,1,1,1,0,0,0,0,0,0,0,0,0
586,1,1,0,0,0,0,0,0,0,1,0,0
587,0,0,0,0,0,0,1,1,1,0,0,0
588,1,1,1,1,0,0,0,0,0,0,0,0
589,1,0,0,0,0,0,0,0,0,0,0,0
590,0,0,0,0,0,0,1,1,1,0,0,0
591,1,1,0,0,0,0,0,0,1,0,0,0
592,1,0,1,0,1,1,0,0,0,0,0,0
593,0,0,0,0,0,0,0,0,0,0,0,1
594,0,0,0,0,0,0,0,0,0,0,0,0
595,1,1,1,0,0,0,0,0,0,1,0,0
596,1,1,1,1,0,0,0,0,0,0,0,0
597,0,0,0,1,0,0,0,0,0,0,0,0
598,0,0,1,0,0,0,0,0,0,0,0,0
599,0,1,1,0,0,0,0,0,0,0,0,0
600,1,1,0,1,1,0,0,0,1,0,0,1
601,1,0,1,0,0,0,1,1,0,0,0,0
602,1,1,1,1,0,0,0,0,0,0,0,0
603,1,1,0,1,0,0,0,0,0,0,0,0
604,0,0,0,0,1,0,0,0,0,0,0,0
605,1,1,0,0,1,0,0,0,0,0,0,1
606,1,1,0,0,0,1,0,0,0,0,0,0
607,1,0,1,0,0,0,0,0,0,1,0,0
608,2,1,1,0,0,0,0,0,0,0,0,0
609,1,1,1,1,0,0,0,0,0,0,0,0
610,1,1,0,0,1,0,0,0,1,0,0,0
611,0,0,0,0,1,1,1,1,1,1,0,0
612,0,0,1,0,0,0,1,1,0,0,1,0
613,0,1,1,0,0,0,0,0,0,0,0,0
614,1,1,0,1,0,0,1,1,1,0,0,0
615,1,1,0,0,0,0,0,0,0,0,1,0
616,0,0,1,0,1,0,1,1,0,0,0,0
617,1,1,1,0,1,0,0,0,0,1,0,0
618,1,1,0,1,1,0,0,0,0,0,0,0
619,1,0,1,0,1,0,0,0,0,0,0,0
620,1,1,1,0,1,1,0,0,0,0,0,0
621,1,1,0,0,0,0,0,0,0,1,0,0
622,1,1,0,1,0,0,0,0,1,0,0,0
623,0,0,0,0,0,1,0,0,0,0,0,0
624,1,1,1,0,0,0,0,1,0,0,0,0
625,0,0,1,1,0,0,1,1,0,0,1,0
626,0,0,1,0,0,1,1,1,0,0,0,0
627,1,1,0,0,0,0,0,0,0,0,0,0
628,1,1,0,0,0,0,1,0,1,1,0,1
629,1,1,0,1,0,0,0,0,0,0,0,0
630,1,1,0,0,1,1,0,0,1,1,0,0
631,1,1,1,0,0,0,0,0,0,0,0,0
632,1,1,1,0,0,0,0,0,0,0,0,0
633,1,1,0,0,1,0,0,0,0,0,0,0
634,0,0,1,1,0,1,0,0,0,0,0,0
635,1,1,0,1,0,0,0,0,0,0,0,0
636,0,0,1,1,0,0,0,0,0,0,0,0
637,1,1,1,1,1,0,0,0,0,0,0,0
638,1,2,0,0,0,0,0,0,0,0,0,0
639,0,0,0,0,0,0,0,0,0,0,0,0
640,1,1,1,1,0,0,0,0,0,0,0,0
641,0,0,1,1,0,0,1,1,0,0,0,0
642,1,1,1,0,0,0,0,0,0,0,0,0
643,0,1,0,0,0,0,0,0,0,1,0,0
644,0,0,0,1,0,0,1,1,0,0,0,0
645,1,1,1,0,1,0,0,0,0,1,0,1
646,1,1,0,0,1,0,0,0,1,1,0,0
647,0,0,0,1,0,0,0,0,0,0,0,0
648,1,1,0,1,0,0,1,0,0,0,1,0
649,1,1,1,1,1,1,0,0,0,0,0,0
650,1,1,1,0,0,0,0,0,0,0,0,0
651,1,1,1,0,0,1,0,0,0,1,0,0
652,1,1,1,0,0,0,0,0,0,1,0,0
653,0,0,1,1,0,0,0,0,0,0,0,0
654,0,0,1,1,0,0,0,0,0,0,0,0
655,0,0,0,0,0,0,1,0,1,0,0,1
656,1,1,0,0,1,0,0,0,1,0,0,0
657,1,0,1,0,0,0,1,1,0,0,0,0
658,0,0,0,0,1,0,1,1,0,0,0,0
659,1,1,1,1,0,0,0,0,0,0,0,0
660,1,1,0,0,0,0,0,0,0,0,0,0
661,0,1,0,0,0,0,0,0,0,0,0,0
662,0,0,1,0,0,0,1,0,0,0,0,0
663,0,0,0,0,0,0,1,1,1,0,0,0
664,0,0,0,0,0,0,0,0,0,0,0,0
665,1,0,1,1,0,1,0,0,0,0,1,0
666,0,0,1,1,1,0,0,0,0,0,0,0
667,1,1,1,0,1,0,0,0,0,0,0,1
668,0,0,0,1,0,0,0,0,1,0,0,0
669,1,1,1,0,0,0,0,0,0,0,0,0
670,0,0,0,0,0,1,1,1,1,0,0,0
671,1,1,1,1,0,0,0,0,0,0,0,0
672,1,1,1,1,0,1,0,0,0,0,0,0
673,1,0,1,0,0,0,0,1,0,0,0,0
674,1,1,1,1,0,1,0,0,0,0,0,0
675,0,0,0,0,1,1,1,0,1,1,0,0
676,0,1,1,1,1,1,1,0,0,0,0,0
677,0,0,0,1,1,0,0,0,0,0,0,0
678,1,1,0,0,0,0,0,0,0,0,0,0
679,0,0,0,0,0,0,0,0,1,0,0,0
680,1,1,0,0,1,0,0,0,1,0,0,0
681,0,0,0,0,0,0,0,0,0,0,0,0
682,0,0,0,0,0,0,0,0,0,0,0,0
683,0,1,0,0,0,0,0,0,0,0,1,0
684,1,1,0,0,1,0,0,0,0,0,0,0
685,1,1,1,0,0,0,0,0,0,0,0,0
686,0,0,0,1,0,0,0,0,0,0,0,0
687,0,0,1,1,0,0,1,1,0,0,1,0
688,1,1,0,0,1,0,0,0,0,0,0,0
689,0,0,0,1,0,0,0,0,0,0,0,0
690,1,0,1,0,0,0,0,0,0,0,0,1
691,1,1,1,1,0,0,0,0,0,0,0,0
692,0,0,0,0,0,0,1,1,0,1,0,0
693,1,0,1,0,1,0,0,0,0,0,0,0
694,0,0,1,1,1,0,0,0,0,0,0,0
695,0,0,0,1,0,0,1,1,0,0,1,0
696,1,1,1,0,0,0,0,0,0,1,0,0
697,0,0,0,1,0,0,1,1,0,0,1,0
698,0,0,0,0,1,0,1,1,0,0,0,0
699,1,1,0,1,0,0,0,0,1,0,0,0
700,1,0,0,0,1,0,0,0,1,0,0,1
701,0,0,0,0,0,0,1,1,1,0,0,0
702,0,0,0,0,0,0,0,0,0,1,0,0
703,0,0,0,0,1,1,0,0,1,0,0,0
704,1,0,1,0,1,0,1,1,0,0,0,0
705,1,0,1,0,0,0,0,1,0,0,0,1
706,0,0,1,1,0,0,1,1,0,0,0,0
707,0,0,1,0,0,0,1,1,0,0,0,1
708,0,0,1,0,0,1,0,0,0,0,0,0
709,0,0,0,0,0,0,0,0,0,0,1,0
710,0,0,1,0,0,0,1,1,0,1,0,0
711,0,0,1,1,0,0,1,1,0,0,0,0
712,1,1,1,0,0,0,0,0,0,0,1,0
713,1,1,0,0,1,0,0,0,1,0,0,0
714,0,0,0,1,0,0,0,0,0,0,0,0
715,1,1,1,1,0,0,0,0,0,0,0,0
716,1,1,1,0,0,1,0,0,0,0,0,0
717,0,0,0,0,0,0,1,1,1,0,0,1
718,1,1,1,0,0,1,0,0,0,0,0,0
719,0,0,1,1,0,0,1,1,0,0,0,1
720,0,0,1,0,0,0,0,0,0,0,0,0
721,1,1,0,1,0,0,0,0,0,0,0,0
722,0,0,1,0,1,0,1,1,0,0,0,0
723,0,0,1,1,0,0,0,0,0,0,1,0
724,0,0,1,0,0,0,0,0,0,0,0,0
725,1,1,0,0,0,0,0,0,1,0,1,0
726,2,1,1,1,1,0,0,0,0,0,0,0
727,0,0,0,0,1,0,0,0,0,1,0,0
728,1,1,0,1,0,0,0,0,1,0,0,0
729,1,1,0,0,0,0,0,0,0,0,0,0
730,0,0,1,0,0,0,0,0,0,0,0,0
731,1,1,1,0,0,0,0,0,0,0,0,0
732,0,1,0,0,0,0,0,0,0,1,0,0
733,0,0,0,0,0,0,1,1,1,0,0,1
734,1,1,0,0,1,0,0,0,0,0,0,0
735,1,1,1,0,0,0,0,0,0,0,0,0
736,1,1,0,0,0,0,0,0,0,0,0,0
737,1,1,0,0,0,0,0,0,0,0,0,0
738,0,0,0,0,0,0,0,0,1,0,0,1
739,0,0,0,1,0,0,0,0,0,0,0,0
740,0,0,1,0,0,0,0,0,0,0,0,0
741,1,1,1,0,0,1,0,0,0,0,0,0
742,1,0,0,0,0,0,0,0,0,0,1,0
743,1,1,0,0,1,0,0,0,1,1,0,0
744,1,1,1,0,0,1,0,0,0,0,0,0
745,1,1,0,0,0,1,0,0,0,0,1,0
746,1,0,0,0,1,0,0,0,0,0,0,0
747,0,0,0,0,0,0,0,0,0,0,1,0
748,1,1,0,1,0,0,0,0,0,0,1,0
749,1,1,0,0,0,0,0,0,0,0,0,0
750,0,0,1,0,0,0,0,0,0,1,0,0
751,1,0,1,0,1,0,1,1,0,0,0,0
752,0,0,0,0,0,0,0,0,0,0,0,0
753,1,1,1,1,0,1,0,0,0,0,0,0
754,0,0,1,0,1,0,1,1,0,0,0,0
755,0,0,0,1,0,0,0,0,1,0,0,0
756,1,1,1,1,1,0,0,0,0,0,0,0
757,1,1,1,0,0,0,0,0,0,0,0,0
758,1,1,0,1,0,0,0,0,0,0,0,0
759,1,1,1,0,0,0,0,0,0,0,0,0
760,1,1,0,0,0,0,0,0,1,0,0,0
761,1,1,0,0,0,0,0,0,0,0,0,0
762,0,0,0,0,0,0,1,1,1,0,1,0
763,0,0,0,1,0,0,1,1,0,0,0,0
764,0,0,1,0,1,0,0,0,0,0,0,0
765,0,0,1,0,0,0,1,1,0,0,0,0
766,1,0,1,0,0,1,0,0,0,0,0,0
767,1,1,0,1,0,0,0,0,0,0,0,0
768,2,1,0,0,0,0,0,0,0,0,0,0
769,0,0,0,1,0,0,0,0,0,0,0,0
770,1,1,1,0,0,0,0,0,1,0,0,1
771,0,0,0,0,1,0,0,0,0,1,0,0
772,0,0,0,1,0,0,0,0,0,0,0,0
773,1,1,0,1,1,0,0,0,0,0,0,0
774,0,0,0,1,0,0,1,1,0,0,0,0
775,1,1,1,0,0,0,0,0,0,0,0,0
776,1,1,1,0,0,1,0,0,0,0,0,0
777,1,1,0,1,0,0,0,0,1,0,0,0
778,0,0,1,1,0,1,0,0,0,0,0,0
779,1,1,0,0,0,0,0,0,0,0,0,0
780,1,1,0,0,0,1,0,0,0,1,0,0
781,1,1,1,0,0,0,0,0,0,0,0,0
782,1,1,1,1,0,0,0,0,0,0,0,0
783,0,0,0,1,0,0,1,1,0,0,0,0
784,0,0,0,1,0,0,1,1,1,0,0,0
785,0,0,0,0,0,1,0,0,0,1,0,0
786,1,1,0,1,0,1,1,0,1,0,0,0
787,0,0,0,0,0,0,1,1,1,0,0,0
788,2,1,1,0,0,0,0,0,0,1,1,0
789,1,1,0,0,0,0,0,0,0,0,0,0
790,0,0,1,1,0,0,0,0,0,0,0,0
791,1,0,1,0,1,1,0,0,0,0,0,0
792,0,0,0,0,0,0,1,1,0,0,0,0
793,1,1,1,0,0,0,0,0,0,0,0,0
794,1,0,1,0,0,1,1,1,0,0,0,0
795,1,1,0,0,1,0,0,0,1,0,0,0
796,1,0,1,0,0,0,0,0,0,0,0,0
797,1,1,1,1,0,0,0,0,0,0,0,0
798,0,1,0,1,0,0,0,0,0,0,0,0
799,0,0,0,0,1,0,0,0,0,1,0,0
800,1,1,1,1,0,0,0,0,0,0,1,0
801,1,1,0,0,1,0,0,0,0,0,0,0
802,1,1,0,0,0,0,0,0,0,1,0,0
803,1,1,0,0,0,0,0,0,0,1,0,0
804,1,0,1,0,0,0,0,0,0,0,0,0
805,1,1,1,0,0,0,0,0,0,0,0,0
806,0,0,0,1,0,0,1,1,1,0,0,0
807,1,1,0,1,0,0,0,0,0,0,0,0
808,0,0,0,0,0,0,0,0,0,1,1,0
809,1,0,1,0,0,1,1,1,0,0,0,0
810,1,1,0,1,0,0,0,0,0,0,0,0
811,1,1,0,0,0,0,0,0,0,1,0,0
812,0,0,0,0,0,0,1,1,1,0,0,0
813,1,1,0,0,0,0,0,0,0,0,0,0
814,1,1,0,0,0,0,0,0,0,0,1,0
815,1,1,1,1,0,0,0,0,0,0,0,0
816,1,1,0,0,0,0,0,0,1,0,0,0
817,0,0,0,0,0,0,0,0,0,0,0,0
818,1,1,1,0,1,0,0,0,0,1,0,0
819,1,1,0,0,0,0,0,0,0,1,0,0
820,0,0,1,0,0,1,0,0,0,1,1,0
821,1,1,1,0,0,0,0,0,0,0,0,0
822,0,0,1,0,0,0,1,1,0,0,0,0
823,1,1,0,0,1,0,0,0,1,0,0,0
824,0,1,0,0,1,0,0,0,0,0,0,0
825,0,1,0,0,0,0,0,0,0,1,0,0
826,0,0,0,0,1,0,1,1,0,0,0,0
827,1,1,0,1,0,0,0,0,0,0,1,0
828,0,0,0,0,0,0,1,1,1,0,0,0
829,0,0,1,0,1,0,0,0,0,0,0,0
830,1,1,0,1,0,0,0,0,0,0,0,0
831,1,1,0,0,1,0,0,0,1,0,0,0
832,1,1,1,0,0,0,0,0,0,0,0,0
833,0,0,1,1,0,0,0,0,0,0,0,0
834,1,1,0,0,0,0,0,0,0,0,1,0
835,1,1,1,1,0,0,0,0,0,0,0,0
836,0,0,0,0,0,0,1,1,0,0,0,0
837,1,1,0,0,1,0,0,0,0,0,0,0
838,1,2,1,0,0,0,0,0,0,1,0,0
839,0,0,0,1,1,0,1,1,1,0,0,0
840,2,1,0,0,0,0,0,0,0,1,0,0
841,1,0,1,1,0,0,0,0,0,0,0,0
842,0,0,0,1,1,0,0,0,0,0,0,0
843,1,1,0,0,0,0,0,0,1,1,0,0
844,0,1,0,1,0,0,1,1,1,0,0,0
845,0,0,0,0,1,1,0,0,0,0,0,0
846,1,1,0,0,0,0,0,0,1,1,0,0
847,1,1,1,1,0,0,0,0,0,0,0,0
848,0,0,1,0,0,0,0,0,0,0,0,0
849,1,1,1,0,0,0,0,0,0,0,0,0
850,1,1,0,0,0,1,0,0,0,0,0,0
851,1,1,0,1,1,0,1,0,1,0,0,0
852,1,1,1,0,0,0,0,0,0,0,0,0
853,1,1,1,1,0,0,0,0,0,0,0,0
854,0,1,0,0,0,0,1,1,1,0,1,0
855,1,1,0,0,0,0,0,0,1,0,0,0
856,1,1,1,0,0,0,0,0,0,0,0,0
857,1,0,1,0,0,0,0,0,0,0,1,0
858,0,0,1,0,0,0,1,1,0,0,0,0
859,1,1,1,0,0,0,0,0,0,1,0,0
860,1,1,2,1,0,0,0,0,0,0,0,0
861,1,1,0,1,0,0,0,0,0,0,1,0
862,1,1,0,0,0,1,0,0,1,0,0,0
863,1,0,1,0,1,0,0,0,0,0,0,0
864,0,0,1,0,0,0,1,1,0,0,0,0
865,1,1,1,0,1,1,0,0,0,0,0,0
866,1,1,0,0,0,0,0,0,0,0,0,0
867,1,1,1,0,0,0,0,0,0,1,0,0
868,2,1,1,0,1,0,0,0,0,0,0,0
869,0,0,1,0,0,1,1,1,0,0,0,0
870,1,1,1,0,1,0,0,0,0,0,0,0
871,0,0,0,0,0,0,0,0,0,0,0,0
872,1,0,1,0,0,0,0,0,0,0,0,0
873,0,0,1,0,0,1,0,0,0,0,0,0
874,0,0,0,0,0,0,0,0,0,0,1,0
875,1,1,1,0,0,0,0,0,0,0,0,0
876,0,0,0,0,1,0,1,1,1,0,0,1
877,0,0,1,0,0,0,1,1,0,0,0,0
878,1,0,1,0,0,0,0,0,0,0,0,0
879,0,0,0,0,1,0,1,1,1,0,0,0
880,1,1,0,1,0,0,0,0,0,0,0,0
881,0,0,0,1,0,0,0,0,0,0,0,0
882,1,1,0,1,0,0,0,0,0,0,1,0
883,1,1,1,0,0,0,0,0,0,0,0,0
884,1,1,0,0,0,1,0,0,0,0,1,0
885,1,1,1,1,0,0,0,0,0,0,0,0
886,0,0,1,1,1,0,0,0,0,0,0,0
887,0,0,1,1,0,0,1,1,0,0,0,0
888,1,1,1,0,1,0,0,0,0,0,0,0
889,1,0,1,0,0,1,0,0,0,0,1,0
890,1,0,1,0,0,0,0,1,0,0,0,0
891,0,0,1,0,0,0,0,0,0,0,0,0
892,1,1,1,1,0,0,0,0,0,0,0,0
893,0,0,0,1,0,0,0,0,1,0,0,0
894,1,1,1,1,1,0,0,0,0,0,0,0
895,0,0,0,0,0,0,0,0,0,0,0,0
896,1,1,1,1,0,1,0,0,0,0,0,0
897,0,0,1,0,1,0,1,1,0,0,0,0
898,0,0,1,1,0,1,0,0,0,0,0,0
899,0,0,0,1,0,0,1,1,0,0,0,0
900,1,1,1,1,0,0,0,0,0,0,0,0
901,1,1,0,0,0,0,0,0,0,0,0,0
902,0,0,0,0,0,1,1,0,0,0,0,0
903,1,1,1,0,1,0,0,0,0,0,0,0
904,0,0,0,1,1,0,0,0,0,0,0,0
905,1,1,0,0,0,0,0,0,0,0,0,0
906,1,1,1,1,0,0,0,0,0,0,0,0
907,1,1,1,1,0,0,0,0,0,0,0,0
908,1,1,0,0,0,0,0,0,1,0,0,0
909,1,1,1,1,1,0,0,0,0,0,0,0
910,0,0,0,0,1,0,1,1,0,0,0,0
911,0,0,1,0,1,0,0,0,0,0,0,0
912,1,1,1,0,0,0,0,0,0,0,0,0
913,1,1,0,0,0,0,0,0,1,0,0,0
914,0,0,0,1,0,0,0,0,0,0,0,0
915,1,1,1,0,0,0,0,0,0,0,0,0
916,1,0,0,1,0,0,1,1,1,0,0,0
917,1,1,0,0,1,0,0,0,0,0,0,0
918,0,0,0,0,0,0,1,1,0,0,0,0
919,1,1,0,0,1,0,0,0,0,0,0,0
920,0,0,0,0,0,0,0,0,0,0,0,1
921,1,1,1,0,0,0,0,0,0,0,0,0
922,1,1,1,1,1,1,0,0,0,0,0,0
923,0,0,0,1,0,0,1,1,0,0,0,0
924,1,1,1,0,0,0,0,0,0,0,0,0
925,0,1,0,0,0,0,0,0,1,0,0,0
926,1,1,0,0,1,0,0,0,0,0,0,0
927,1,1,0,0,0,0,0,0,1,1,0,0
928,0,0,1,0,0,0,0,0,0,0,1,0
929,1,1,1,0,0,0,0,0,0,0,0,0
930,1,1,1,0,0,0,1,0,0,0,0,0
931,1,1,1,1,0,0,0,0,0,0,0,0
932,1,1,1,0,0,0,0,0,0,0,0,0
933,0,0,1,0,1,0,1,1,0,0,0,0
934,1,1,1,0,0,0,0,0,0,0,0,0
935,0,0,1,0,0,0,0,0,0,0,0,0
936,1,1,1,1,1,1,0,0,0,0,0,0
937,1,1,1,0,0,0,0,0,0,0,0,0
938,2,1,1,0,0,1,0,0,0,0,0,0
939,0,1,1,1,1,0,1,0,0,0,0,0
940,1,1,1,0,0,0,0,0,0,0,0,0
941,1,1,1,0,1,0,0,0,0,0,0,0
942,0,0,0,1,0,1,1,1,1,0,0,0
943,0,0,0,1,0,0,0,0,0,0,0,0
944,0,0,0,0,0,0,1,1,0,0,0,0
945,0,0,0,1,0,0,0,0,0,0,0,0
946,0,0,0,0,1,0,1,1,1,0,0,0
947,1,1,1,0,1,0,0,0,0,1,0,0
948,0,0,1,1,0,0,1,1,0,0,0,0
949,0,1,1,0,1,0,1,1,0,0,0,0
950,1,1,0,0,0,0,0,0,0,0,0,0
951,1,0,1,0,0,1,1,1,0,0,0,0
952,1,1,0,0,0,0,0,0,1,0,0,0
953,1,1,1,0,0,0,0,0,0,0,0,0
954,0,0,0,0,1,0,1,1,1,0,0,0
955,1,1,1,1,0,0,0,0,0,0,0,0
956,1,1,0,0,0,0,0,0,0,0,0,0
957,0,0,0,1,1,0,0,0,0,0,0,0
958,1,1,0,1,0,0,0,0,0,0,0,0
959,0,0,1,0,1,0,0,0,0,0,0,0
960,1,1,1,1,0,0,0,0,0,0,1,0
961,0,0,0,0,0,0,1,1,1,0,0,0
962,1,0,1,0,1,0,0,0,0,0,0,0
963,1,1,0,1,0,0,0,0,0,0,0,0
964,1,1,1,1,0,0,0,0,0,0,0,0
965,0,0,0,0,0,0,1,1,1,0,0,0
966,1,0,1,1,0,0,0,0,0,0,0,0
967,0,0,0,1,0,0,1,1,1,0,1,0
968,1,1,1,1,0,0,0,0,0,0,0,0
969,1,1,0,1,0,0,0,0,0,0,0,0
970,1,1,0,0,0,0,0,0,1,0,0,1
971,1,1,0,0,0,0,0,0,0,1,0,0
972,0,0,0,1,0,0,1,1,0,0,1,0
973,0,0,0,0,0,0,1,1,1,1,0,0
974,0,0,1,0,0,0,0,0,0,0,0,0
975,1,1,0,0,0,0,0,0,1,0,0,1
976,1,1,0,0,1,0,0,0,0,0,0,0
977,0,0,0,0,0,0,1,1,1,0,0,1
978,0,0,0,0,0,1,1,1,1,1,0,0
979,1,1,1,1,0,0,0,0,0,0,0,0
980,1,1,1,0,0,0,0,0,0,1,0,0
981,0,0,0,0,1,0,0,0,0,0,0,0
982,0,0,0,0,0,1,1,0,1,0,0,0
983,0,0,1,1,0,0,1,1,0,0,0,0
984,1,1,0,1,1,0,0,0,0,0,0,0
985,1,0,0,1,0,0,0,1,0,0,0,0
986,1,1,0,0,0,0,0,0,0,0,0,0
987,1,0,0,0,0,1,1,1,0,0,0,0
988,1,1,1,1,1,0,0,0,0,0,0,0
989,1,1,0,0,0,0,0,0,0,1,1,1
990,0,0,0,1,0,0,0,0,0,0,1,0
991,1,1,1,0,0,0,0,0,0,1,0,0
992,0,0,0,0,0,0,1,1,1,0,0,0
993,0,1,0,1,1,0,0,0,0,0,0,0
994,1,1,1,0,0,0,0,0,0,0,0,0
995,1,1,1,0,0,0,0,0,0,0,0,0
996,0,1,1,1,1,0,0,0,0,0,0,0
997,2,1,1,1,1,0,0,0,0,0,0,0
998,1,1,0,0,0,0,0,0,0,0,0,0
999,1,0,0,0,0,0,0,0,1,0,0,0
1000,1,1,0,0,0,0,0,0,0,0,0,0
1001,1,0,1,1,0,0,0,1,0,0,0,0
1002,1,1,0,0,1,0,0,0,0,0,0,0
1003,0,0,0,1,0,1,1,1,1,0,0,0
1004,0,0,0,1,0,0,0,0,0,0,0,0
1005,0,0,0,0,0,0,1,1,1,0,0,0
1006,1,1,0,0,1,0,0,0,0,0,0,0
1007,1,1,1,1,0,0,0,0,0,0,0,0
1008,1,1,0,0,0,0,0,0,0,0,0,0
1009,1,1,1,0,0,0,0,0,0,0,0,0
1010,0,1,0,0,0,0,0,0,0,0,0,0
1011,1,1,1,1,0,0,0,0,0,0,0,0
1012,0,1,0,0,1,0,0,0,0,0,0,0
1013,0,0,0,0,0,1,1,1,0,0,0,0
1014,0,0,1,0,1,0,0,0,0,0,0,0
1015,1,1,1,0,0,0,0,0,0,0,0,0
1016,0,0,1,0,0,0,0,0,0,0,0,0
1017,1,1,0,1,1,0,0,0,1,0,0,1
1018,1,1,0,1,1,0,0,0,1,0,0,0
1019,1,1,1,1,0,1,0,0,0,0,1,0
1020,1,1,0,0,0,0,0,0,0,0,0,1
1021,1,0,1,0,0,0,0,0,0,0,0,0
1022,0,0,1,0,0,0,1,1,0,0,0,0
1023,1,1,1,0,0,0,0,0,0,0,0,0
1024,0,0,1,0,0,0,0,0,0,1,0,0
1025,1,1,1,0,0,1,0,0,0,0,0,0
1026,0,0,0,0,0,0,1,1,1,0,0,0
1027,1,1,1,1,0,1,0,0,0,0,0,0
1028,0,0,0,1,0,0,1,1,1,0,1,0
1029,0,0,0,1,0,0,1,1,1,0,0,0
1030,1,1,0,0,0,0,0,0,0,0,0,1
1031,1,1,1,0,1,0,0,0,0,1,0,0
1032,0,0,0,1,0,0,0,0,1,0,0,0
1033,0,0,0,0,0,0,1,1,0,0,0,0
1034,1,1,1,1,0,0,0,0,0,0,0,0
1035,0,0,0,0,0,0,0,0,0,0,0,0
1036,1,1,0,0,0,0,0,0,1,0,0,0
1037,0,0,0,0,0,0,0,0,0,0,0,0
1038,0,0,1,0,1,0,0,0,0,0,0,0
1039,1,1,0,0,0,0,0,0,0,0,0,0
1040,1,0,1,0,0,0,0,1,0,1,0,0
1041,1,1,0,1,0,0,0,0,0,0,0,0
1042,1,1,1,1,0,0,0,0,0,0,0,0
1043,1,1,0,0,0,0,0,0,1,0,0,0
