,feature,probabilities
53,"(1, 1, 0, 1, 0, 1)","(0.0422, 0.0228, 0.2465, 0.0031, 0.0864, 0.0121)"
54,"(1, 1, 0, 1, 1, 0)","(0.0445, 0.0215, 0.2906, 0.0028, 0.0035, 0.054)"
55,"(1, 1, 0, 1, 1, 1)","(0.0425, 0.0202, 0.2597, 0.0026, 0.0029, 0.0094)"
56,"(1, 1, 1, 0, 0, 0)","(0.0322, 0.0224, 0.0072, 0.1424, 0.0941, 0.0478)"
57,"(1, 1, 1, 0, 0, 1)","(0.0307, 0.0211, 0.0061, 0.1356, 0.0807, 0.0083)"
58,"(1, 1, 1, 0, 1, 0)","(0.0324, 0.0199, 0.0077, 0.1229, 0.0032, 0.0375)"
59,"(1, 1, 1, 0, 1, 1)","(0.031, 0.0187, 0.0066, 0.1169, 0.0027, 0.0064)"
60,"(1, 1, 1, 1, 0, 0)","(0.0343, 0.0217, 0.007, 0.0028, 0.1026, 0.0381)"
61,"(1, 1, 1, 1, 0, 1)","(0.0328, 0.0204, 0.006, 0.0027, 0.0881, 0.0065)"
62,"(1, 1, 1, 1, 1, 0)","(0.0346, 0.0192, 0.0075, 0.0024, 0.0036, 0.0298)"
63,"(1, 1, 1, 1, 1, 1)","(0.033, 0.0181, 0.0064, 0.0023, 0.003, 0.0051)"
