,s0,s1,s2,s3,s4,s5,q0,q1,q2,q3,q4,q5
121,1,1,0,0,1,0,0,0,0,0,0,0
122,1,1,0,0,0,0,0,0,1,0,0,0
123,1,1,1,0,0,0,0,0,0,1,0,0
124,1,0,1,1,0,0,0,0,0,0,0,0
125,1,0,1,1,0,0,0,0,0,0,0,0
126,1,0,1,1,0,0,0,0,0,0,0,0
127,1,0,1,1,0,0,0,0,0,0,0,0
128,1,0,1,1,0,0,0,0,0,0,0,0
129,1,0,1,1,0,0,0,0,0,0,0,0
130,1,0,1,1,0,0,0,0,0,0,0,0
131,0,0,1,1,0,0,0,0,0,0,0,0
132,0,0,1,1,0,0,0,0,0,0,0,0
133,0,0,0,1,0,0,1,1,0,0,0,0
134,1,1,0,0,0,0,0,0,0,0,0,0
135,1,1,0,0,0,0,0,0,0,0,0,0
136,1,1,0,0,0,0,0,0,0,0,0,0
137,1,1,0,0,0,0,0,0,0,0,0,0
138,1,1,0,0,0,0,0,0,0,0,0,0
139,1,1,0,0,0,0,0,0,0,0,0,0
140,1,1,0,0,0,0,0,0,0,0,0,0
141,1,1,0,0,0,0,0,0,0,0,0,0
142,1,1,0,0,0,0,0,0,0,0,0,0
143,1,1,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,1,0,0,0
145,0,0,1,0,0,0,0,0,0,0,0,0
146,0,0,1,0,0,0,0,0,0,0,0,0
147,0,0,1,0,0,0,0,0,0,0,0,0
148,0,0,1,0,0,0,0,0,0,0,0,0
149,0,0,1,0,0,0,0,0,0,0,0,0
150,0,0,1,0,0,0,1,1,0,0,0,0
151,1,1,1,0,0,0,0,0,0,0,0,0
152,1,1,1,0,0,0,0,0,0,0,0,0
153,1,1,1,0,0,0,0,0,0,0,0,0
154,1,1,1,0,0,0,0,0,0,0,0,0
155,1,1,0,0,0,0,0,0,0,1,0,0
156,1,1,0,1,0,0,0,0,0,0,0,0
157,1,1,0,1,0,0,0,0,0,0,1,0
158,1,1,0,1,1,0,0,0,0,0,0,0
159,1,1,0,1,1,0,0,0,0,0,0,0
160,1,1,0,1,1,0,0,0,0,0,0,0
161,0,0,0,1,1,0,0,0,0,0,0,0
162,0,0,0,1,1,0,0,0,1,0,0,0
163,0,0,1,1,1,0,0,0,0,0,0,0
164,0,0,1,1,1,0,0,0,0,0,0,0
165,0,0,1,1,1,0,0,0,0,0,0,0
166,0,0,1,0,1,0,0,0,0,0,0,0
167,0,0,1,0,1,0,0,0,0,0,0,0
168,0,0,1,0,0,0,1,1,0,0,0,0
169,1,1,1,0,0,0,0,0,0,0,0,0
170,1,1,1,0,0,0,0,0,0,0,0,0
171,1,1,1,0,0,0,0,0,0,0,0,0
172,1,1,1,0,0,0,0,0,0,0,0,0
173,1,1,0,0,0,0,0,0,0,0,0,0
174,1,1,0,0,0,0,0,0,0,0,0,0
175,1,1,0,0,0,0,0,0,0,0,0,0
176,1,1,0,0,0,0,0,0,0,0,0,0
177,1,1,0,0,0,0,0,0,0,0,0,0
178,1,1,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,1,1,1,0,0,0
186,1,1,1,0,0,0,0,0,0,0,0,0
187,1,1,1,0,0,0,0,0,0,1,0,0
188,1,1,1,1,0,0,0,0,0,0,0,0
189,1,1,1,1,0,0,0,0,0,0,0,0
