,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
0,1,1,1,0,1,0,0,1,0,0,0,0
1,1,2,1,1,0,2,0,0,0,0,1,0
2,1,1,1,0,0,0,1,0,0,1,0,0
3,1,1,1,0,0,0,1,1,0,0,1,0
4,1,1,1,1,0,0,0,1,0,0,0,1
5,1,1,1,0,1,0,1,0,0,0,0,0
6,1,1,1,1,0,0,0,0,0,0,0,0
7,1,1,1,1,1,0,0,0,1,0,0,0
8,1,1,0,0,0,0,1,1,1,1,0,0
9,0,0,0,0,1,0,1,1,1,0,0,0
10,1,1,0,1,0,0,0,0,1,0,0,1
11,1,1,1,0,1,0,0,0,0,1,0,0
12,1,1,1,0,0,0,1,1,0,0,0,0
13,1,1,2,1,1,0,0,0,1,0,0,0
14,1,1,1,1,0,0,0,0,0,0,0,0
15,1,1,1,0,1,1,0,0,0,0,0,0
16,1,1,1,1,0,0,1,1,0,0,0,0
17,1,1,1,1,1,0,0,0,0,0,0,1
18,1,1,1,0,1,0,0,0,1,1,0,1
19,1,1,0,0,1,0,0,0,1,0,0,0
20,1,1,0,1,0,0,1,1,1,0,0,0
21,1,1,0,0,1,1,1,0,1,1,0,0
22,1,1,0,0,0,0,0,0,1,0,0,0
23,1,1,0,1,1,0,0,0,1,0,0,1
24,1,1,0,0,0,0,1,0,1,1,0,0
25,1,1,0,0,1,0,0,1,1,0,0,0
26,1,1,0,1,0,0,0,1,1,0,1,1
27,1,2,1,1,0,0,1,1,0,0,0,0
28,0,1,1,0,1,0,1,0,0,1,0,1
29,2,1,1,0,0,0,0,0,0,0,0,0
30,1,1,1,1,1,0,0,0,0,0,0,0
31,1,1,1,1,0,0,1,1,0,0,0,0
32,1,1,1,0,1,0,0,0,0,1,0,0
33,1,1,1,0,0,1,0,0,0,0,0,0
34,1,1,1,1,1,0,1,1,1,0,0,0
35,0,0,0,0,1,1,1,1,1,1,0,0
36,1,1,0,0,0,0,0,0,1,0,0,0
37,1,1,0,1,1,0,0,0,1,0,0,0
38,1,1,1,1,0,1,0,0,0,0,1,0
39,1,1,1,0,0,0,1,1,0,0,0,0
40,0,0,1,1,1,0,1,1,0,0,0,0
41,1,1,1,1,0,0,0,0,0,0,0,0
42,1,1,1,1,1,0,0,0,0,0,0,0
43,1,1,1,0,0,1,1,1,1,1,0,0
44,0,0,0,0,1,0,1,1,1,0,0,0
45,1,1,1,1,0,0,0,0,0,0,0,0
46,1,1,1,0,1,1,0,0,0,1,0,0
47,1,1,1,0,0,0,0,0,0,1,0,0
48,1,1,1,0,1,0,1,1,1,0,0,1
49,0,0,0,1,0,0,1,1,1,0,0,0
50,1,1,1,1,1,0,0,0,0,0,0,0
51,1,1,1,0,0,0,0,0,0,1,0,0
52,1,1,1,0,0,1,0,0,0,0,1,0
53,1,1,1,1,0,1,1,1,0,0,0,0
54,1,1,1,0,0,0,0,0,0,1,1,1
55,2,1,1,0,0,0,0,0,0,0,0,0
56,1,2,1,1,0,0,1,1,1,0,1,0
57,1,1,0,0,0,0,0,0,1,1,0,0
58,1,1,0,0,0,1,0,0,1,0,1,1
59,1,1,0,1,0,0,0,0,1,0,0,0
60,1,1,0,0,0,0,1,0,1,0,1,0
61,2,1,1,1,0,1,0,1,0,0,0,0
62,1,0,1,1,0,0,0,1,0,0,1,0
63,1,0,1,0,0,1,1,1,0,1,0,0
64,1,1,1,0,0,0,0,0,1,0,1,0
65,1,1,2,1,0,0,0,0,0,0,0,0
66,1,1,1,1,0,0,1,1,0,0,1,0
67,0,0,1,0,0,0,1,1,0,1,0,0
68,1,1,1,0,0,1,0,0,0,0,1,0
69,1,1,1,1,0,1,0,0,0,0,0,0
70,1,1,1,1,1,0,0,0,0,0,0,0
71,2,2,1,1,0,0,0,0,1,0,0,0
72,1,1,0,1,1,0,0,0,1,0,0,0
