,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
673,6,6,6,8,11,7
674,0,0,0,9,12,8
675,1,1,1,10,13,9
676,2,2,2,11,0,10
677,3,3,3,0,1,11
678,4,4,4,1,2,12
679,5,5,5,2,3,13
680,0,0,0,3,4,14
681,1,1,1,4,5,15
682,2,2,2,5,6,16
683,3,3,3,6,7,17
684,4,4,4,7,8,18
685,5,5,5,8,9,0
686,6,6,6,9,10,1
687,0,0,0,0,11,2
688,1,1,1,1,12,3
689,2,2,2,2,13,4
690,3,3,3,3,14,5
691,4,4,4,4,15,6
692,5,5,5,5,0,7
693,0,0,0,6,1,8
694,1,1,1,7,2,9
695,2,2,2,8,3,10
696,3,3,3,9,4,11
697,4,4,4,0,5,12
698,5,5,5,1,6,0
699,0,0,0,2,7,1
700,1,1,1,3,8,2
701,2,2,2,4,9,3
702,3,3,3,5,10,4
703,4,4,4,6,11,5
704,5,5,5,7,12,6
705,0,0,6,8,13,7
706,0,1,0,9,0,8
707,1,2,1,10,1,9
708,2,3,2,11,2,10
709,3,0,3,0,3,11
710,0,1,4,1,4,12
711,1,2,5,2,5,0
712,2,3,6,3,0,1
713,0,4,0,4,1,2
714,1,5,1,5,2,3
715,0,0,2,6,3,4
716,1,1,3,7,4,5
717,2,2,4,8,5,6
718,3,3,5,0,6,7
719,0,0,0,1,7,8
720,1,1,1,2,8,9
721,2,2,2,3,0,10
722,3,3,3,4,1,11
723,4,0,4,5,2,12
724,5,1,5,6,3,13
725,0,2,6,7,4,14
726,1,3,7,8,5,15
727,2,4,0,9,6,0
728,3,5,1,10,7,1
729,0,0,2,0,8,2
730,0,1,3,1,9,3
731,1,2,4,2,0,4
732,2,3,5,3,1,5
733,3,4,0,4,2,6
734,0,0,1,5,3,7
735,1,1,2,6,4,8
736,2,2,3,7,5,9
737,3,3,4,8,6,10
738,4,4,5,9,7,11
739,0,0,0,0,8,12
740,1,1,1,1,9,13
741,2,2,2,2,10,14
742,3,3,3,3,11,15
743,4,4,4,4,12,16
744,5,5,5,5,0,17
745,0,0,6,6,1,18
746,1,1,7,7,2,19
747,2,2,0,8,3,20
748,3,3,1,9,4,21
749,4,4,2,0,5,22
750,5,5,3,1,6,23
751,0,0,4,2,7,24
752,1,1,5,3,8,25
753,2,2,6,4,9,0
754,3,3,0,5,10,1
755,4,4,1,6,0,2
756,0,0,2,7,1,3
757,1,1,3,8,2,4
758,2,2,4,9,3,5
759,3,3,5,10,4,6
760,4,4,6,0,5,7
761,0,0,0,1,6,8
762,1,1,1,2,7,9
763,2,2,2,3,8,10
764,3,3,3,4,9,11
765,4,4,4,5,10,12
766,5,5,5,6,11,13
767,6,6,6,7,12,0
768,0,0,0,8,13,1
769,1,1,1,0,14,2
770,2,2,2,1,15,3
771,3,3,3,2,0,4
772,4,4,4,3,1,5
773,5,5,5,4,2,6
774,0,0,0,5,3,7
775,1,1,1,6,4,8
776,2,2,2,7,5,9
777,3,3,3,8,6,10
778,4,4,4,9,7,11
779,5,5,5,0,8,12
780,0,0,0,1,9,13
781,1,1,1,2,10,14
782,2,2,2,3,11,15
783,3,3,3,4,12,16
784,4,4,4,5,0,17
785,5,5,5,6,1,18
786,0,0,0,7,2,19
787,1,1,1,8,3,20
788,2,2,2,9,4,21
789,3,3,3,10,5,22
790,4,4,4,0,6,23
791,5,5,5,1,7,24
792,0,0,0,2,8,25
793,1,1,1,3,9,26
794,2,2,2,4,10,27
795,3,3,3,5,11,28
796,4,4,4,6,12,0
797,5,5,5,7,0,1
798,0,0,0,8,1,2
799,1,1,1,0,2,3
800,2,2,2,1,3,4
801,3,3,3,2,4,5
802,4,4,4,3,5,6
803,5,5,5,4,6,7
804,0,0,0,5,7,8
805,1,1,1,6,8,9
806,2,2,2,7,9,10
807,3,3,3,8,10,11
808,4,4,4,9,11,12
809,5,5,5,0,12,13
810,0,0,0,1,13,14
811,1,1,1,2,14,15
812,2,2,2,3,0,16
813,3,3,3,4,1,17
814,4,4,4,5,2,18
815,5,5,5,6,3,19
816,0,0,0,7,4,20
817,1,1,1,8,5,21
818,2,2,2,0,6,22
819,3,3,3,1,7,23
820,4,4,4,2,8,24
821,5,5,5,3,9,25
822,0,0,0,4,10,26
823,1,1,1,5,11,27
824,2,2,2,6,12,28
825,3,3,3,7,0,29
826,4,4,4,8,1,30
827,5,5,5,9,2,31
828,0,0,0,0,3,32
829,1,1,1,1,4,33
830,2,2,2,2,5,34
831,3,3,3,3,6,35
832,4,4,4,4,7,36
833,5,5,5,5,8,37
834,0,0,6,6,9,38
835,1,1,0,7,10,39
836,2,2,1,8,11,0
837,3,3,2,9,12,1
838,4,4,3,10,13,2
839,0,0,4,0,14,3
840,1,1,0,1,0,4
841,2,2,1,2,1,5
842,3,3,2,3,2,6
843,4,4,3,4,3,7
844,0,0,4,5,4,8
845,1,1,5,6,5,9
846,2,2,0,0,6,10
847,3,3,1,1,7,11
848,4,4,2,2,8,12
849,5,5,3,3,9,13
850,0,0,4,4,10,14
851,1,1,5,0,11,15
852,2,2,0,1,12,16
853,3,3,1,2,13,17
854,4,4,2,3,0,18
855,5,5,3,4,1,19
856,0,0,4,5,2,20
857,1,1,5,6,3,21
858,2,2,6,7,4,22
859,3,3,0,8,5,23
860,4,4,1,9,6,24
861,5,5,2,10,7,25
862,0,0,3,0,8,26
863,1,1,4,1,9,27
864,2,2,5,2,10,28
865,3,3,0,3,11,29
866,4,4,1,4,12,30
867,5,5,2,5,13,31
868,0,0,3,6,0,32
869,1,1,4,7,1,33
870,2,2,5,8,2,0
871,3,3,6,9,3,1
872,4,4,0,0,4,2
873,5,5,1,1,5,3
874,0,0,2,2,6,4
875,1,1,3,3,7,5
876,2,2,4,4,8,6
877,3,3,5,5,9,7
878,4,4,6,6,10,8
879,5,5,7,0,11,9
880,0,0,0,1,12,10
881,1,1,1,2,13,11
882,2,2,2,3,0,12
883,3,3,3,4,1,13
884,4,4,4,5,2,14
885,5,5,5,6,3,15
886,0,0,6,7,4,16
887,1,1,0,0,5,17
888,2,2,1,1,6,18
889,3,3,2,2,7,19
890,4,4,3,3,8,20
891,0,0,4,4,9,21
892,1,1,5,5,10,22
893,2,2,6,0,11,23
894,3,3,0,1,12,24
895,4,4,1,2,13,25
896,0,5,2,3,14,26
897,1,6,3,4,0,27
898,2,0,4,5,1,28
899,3,1,5,0,2,29
900,4,2,6,1,3,30
901,0,3,0,2,4,31
902,1,4,1,3,5,32
903,2,5,2,4,6,33
904,3,0,3,5,7,34
905,4,1,4,6,8,35
906,5,2,5,7,9,36
907,0,3,6,8,10,37
908,1,4,0,0,11,38
909,2,5,1,1,12,0
910,3,0,2,2,13,1
911,4,1,3,3,14,2
912,5,2,4,4,0,3
913,0,3,0,5,1,4
914,1,4,1,6,2,5
915,2,5,2,7,3,6
916,0,0,3,8,4,7
917,1,1,4,9,5,8
918,2,2,5,10,6,9
919,0,3,6,0,7,10
920,1,4,0,1,8,11
921,2,5,1,2,9,12
922,3,0,2,3,10,13
923,4,1,3,4,11,14
924,5,2,4,5,12,15
925,6,3,5,6,13,16
926,0,4,6,7,0,17
927,1,5,0,8,1,18
928,2,0,1,9,2,19
929,3,1,2,10,3,20
930,4,2,3,0,4,21
931,0,3,4,1,5,22
932,1,4,5,2,6,23
933,2,5,6,3,7,24
934,3,6,0,4,8,25
935,0,0,1,5,9,26
936,0,1,2,6,10,27
937,1,2,3,7,11,28
938,2,3,4,8,12,29
939,3,4,5,9,13,30
940,0,0,0,0,14,31
941,1,1,1,1,15,32
942,2,2,2,2,0,33
943,3,3,3,3,1,34
944,4,4,4,4,2,35
945,5,5,5,5,3,36
946,0,0,6,6,4,37
947,1,1,0,7,5,38
948,2,2,1,8,6,39
949,3,3,2,9,7,0
950,4,4,3,0,8,1
951,5,5,4,1,9,2
952,0,0,0,2,10,3
953,1,1,1,3,11,4
954,2,2,2,4,12,5
955,3,3,3,5,13,6
956,4,4,4,6,0,7
957,5,5,5,7,1,8
958,6,6,6,8,2,9
959,0,0,7,9,3,10
960,1,1,0,10,4,11
961,2,2,1,11,5,12
962,3,3,2,0,6,13
963,4,4,3,1,7,14
964,5,5,4,2,8,15
965,0,0,5,3,9,16
966,1,1,6,4,10,17
967,2,2,7,5,11,18
968,3,3,0,6,12,19
969,4,4,1,7,13,20
970,0,0,2,8,0,21
