,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),0
195,1,1,0,0,0,0,1
196,1,1,0,0,0,1,0
197,1,1,0,1,0,0,1
198,1,1,0,0,0,0,1
199,1,1,0,0,1,0,1
200,2,1,1,0,1,0,0
201,1,1,1,1,0,0,0
202,1,0,1,0,0,0,0
203,0,0,0,1,0,0,1
204,0,0,0,0,1,0,0
205,1,1,0,0,0,0,1
206,1,1,1,1,0,1,0
207,0,0,1,0,0,1,0
208,0,1,0,0,0,0,1
209,0,0,1,1,0,0,0
210,1,0,1,0,0,0,0
211,1,1,0,0,0,0,0
212,1,1,0,0,0,0,0
213,1,1,1,0,0,0,0
214,0,0,1,0,0,0,0
215,0,0,1,0,1,0,1
216,0,0,1,1,0,0,0
217,1,1,1,0,0,1,0
218,0,0,0,1,1,0,0
219,0,0,1,1,0,0,1
220,1,1,1,0,0,0,0
221,1,1,1,0,1,0,0
222,0,0,1,0,0,0,1
223,1,0,1,0,1,0,0
224,1,0,1,0,0,0,1
225,1,1,1,1,0,1,0
226,0,0,0,0,1,0,1
227,1,1,0,1,1,0,0
228,1,0,1,0,0,0,0
229,0,1,0,0,1,0,1
230,0,0,0,0,0,0,1
231,0,0,0,1,1,0,0
232,0,0,1,0,0,1,1
233,0,0,0,0,0,0,1
234,1,0,1,0,0,0,0
235,1,1,0,1,1,0,1
236,0,0,0,0,0,0,0
237,1,0,0,0,0,0,1
238,1,1,1,1,0,0,0
239,0,0,0,0,1,0,1
240,1,1,1,0,0,1,0
241,0,0,0,0,0,0,1
242,0,0,1,0,0,1,1
243,1,1,1,1,0,0,0
244,0,0,0,1,0,0,0
245,1,1,1,0,0,0,0
246,0,0,0,1,0,0,1
247,0,0,0,1,0,0,1
248,0,0,0,1,1,0,1
249,0,0,0,0,0,0,1
250,0,0,0,0,1,0,1
251,1,1,1,0,0,0,1
252,1,1,0,1,0,1,1
253,1,1,0,0,0,1,0
254,1,1,1,0,1,0,0
255,0,0,1,0,1,0,0
256,1,1,1,1,0,0,0
257,0,0,1,1,0,1,1
258,0,0,1,1,0,0,0
259,1,1,0,1,0,0,0
260,1,1,1,0,0,1,0
261,0,0,0,1,0,0,1
262,1,1,0,0,1,0,0
263,1,1,0,1,0,0,1
264,1,1,1,0,1,0,0
265,1,1,0,1,0,0,1
266,1,1,0,0,0,0,0
267,0,0,1,0,0,0,0
268,0,1,1,0,0,0,0
269,2,1,1,0,1,0,0
270,0,0,0,1,0,0,1
271,1,1,1,1,0,0,0
272,1,1,1,0,0,0,0
273,0,0,0,0,1,0,0
274,1,1,1,1,1,0,1
275,0,0,0,0,1,0,0
276,1,1,1,1,1,1,1
277,0,0,0,0,0,0,1
278,1,1,0,0,1,0,0
279,1,1,1,0,0,0,1
280,1,1,1,0,0,1,1
281,0,0,1,0,0,0,0
282,1,1,0,0,1,0,0
283,1,1,1,0,0,0,0
284,0,0,1,1,0,1,1
285,0,0,0,0,0,1,0
286,0,0,0,0,0,1,1
287,1,1,1,1,0,0,0
288,0,0,0,0,0,0,1
289,1,1,0,0,0,0,1
290,1,1,1,0,0,0,0
291,0,0,1,1,0,0,0
292,0,0,1,0,0,0,1
293,0,0,0,1,0,0,0
294,0,0,0,1,0,0,1
295,1,1,1,0,0,0,0
296,0,0,1,1,0,0,0
297,1,1,0,1,1,0,1
298,0,0,1,1,0,0,0
299,1,1,1,0,0,0,0
300,1,1,1,0,0,0,1
301,1,1,1,0,0,0,0
302,1,1,1,0,0,0,0
303,0,0,0,1,0,0,0
304,1,1,1,1,0,1,0
305,1,1,0,1,0,0,0
306,1,0,1,0,1,0,1
307,1,1,1,0,0,0,0
308,1,1,0,1,0,0,1
309,1,1,1,0,0,0,0
310,1,1,1,0,0,0,1
311,1,1,1,1,0,0,0
312,1,1,0,0,0,0,0
313,0,0,0,1,0,0,1
314,1,1,1,1,0,0,0
315,1,1,1,1,0,0,0
316,1,1,0,0,0,0,0
317,0,0,1,0,0,1,0
318,1,1,1,0,1,0,0
319,0,0,1,0,0,1,1
320,1,1,0,0,0,0,1
321,0,0,0,0,0,0,1
322,0,0,1,0,0,0,0
323,1,1,1,0,1,0,0
324,0,0,0,0,1,0,0
325,1,1,1,1,0,1,0
326,1,1,1,0,1,1,0
327,1,1,1,1,0,0,0
328,0,0,0,0,0,0,0
329,0,1,1,1,0,0,0
330,1,1,1,1,0,0,0
331,0,0,1,0,0,0,0
332,0,0,0,0,0,0,1
333,1,1,1,0,0,0,0
334,1,1,0,0,0,1,1
335,1,0,0,1,0,1,1
336,1,1,1,0,1,0,0
337,1,0,0,0,0,0,1
338,0,0,1,0,0,0,1
339,1,1,1,1,0,0,0
340,1,1,0,0,0,0,1
341,1,1,1,0,0,0,0
342,0,0,1,1,0,1,1
343,0,0,1,0,0,0,1
344,0,0,0,1,0,0,0
345,0,0,0,0,1,0,1
346,1,1,0,0,0,0,0
347,1,1,1,1,0,1,0
348,1,1,1,1,0,0,1
349,0,0,0,0,1,0,0
350,1,1,1,0,0,0,1
351,1,1,1,0,0,0,0
352,0,0,0,0,0,0,1
353,1,0,1,0,0,0,1
354,0,0,1,1,0,1,1
355,1,1,0,0,0,0,0
356,1,1,1,0,0,0,1
357,1,1,1,0,0,0,1
358,0,0,0,0,0,1,0
359,1,1,1,0,0,0,0
360,0,0,1,1,1,0,0
361,0,0,0,0,0,0,0
362,0,0,0,0,0,0,1
363,0,0,0,0,0,0,1
364,0,0,1,0,0,1,0
365,1,1,0,0,1,0,0
366,1,1,1,1,0,0,0
367,0,0,0,1,0,0,1
368,1,1,1,1,0,0,0
369,1,1,1,0,1,0,0
370,1,1,0,0,0,0,0
371,0,0,0,0,1,1,0
372,1,0,1,0,0,1,0
373,0,0,1,0,0,1,1
374,1,1,1,0,0,0,0
375,1,1,1,0,0,1,0
376,1,1,0,0,0,0,0
377,1,1,0,0,0,1,0
378,1,0,0,0,0,0,0
379,0,0,1,0,0,0,1
380,0,1,1,0,0,0,0
381,1,1,0,0,0,0,0
382,1,1,0,0,0,0,0
383,1,1,0,0,0,0,0
384,1,1,1,1,0,1,0
385,1,1,1,0,0,0,0
386,0,0,0,0,1,0,1
387,1,1,0,0,0,0,0
388,1,1,1,1,0,0,0
389,1,1,1,1,0,0,0
390,0,0,0,1,0,0,0
391,1,1,0,0,0,0,0
392,1,1,1,0,0,0,0
393,0,0,0,0,1,0,0
394,1,1,1,0,0,0,0
395,0,0,0,0,0,0,0
396,1,1,0,0,0,0,1
397,1,1,0,1,0,0,0
398,1,1,1,0,1,0,0
399,0,0,0,1,1,0,1
400,1,1,1,0,0,0,0
401,1,1,1,1,1,0,0
402,1,1,0,0,0,0,0
403,0,1,0,1,0,0,1
404,0,0,0,0,0,0,1
405,0,0,0,0,0,0,1
406,1,1,1,0,0,0,0
407,2,1,1,0,0,0,0
408,1,0,0,0,0,0,1
409,1,1,1,0,0,0,0
410,0,0,0,1,0,0,1
411,1,1,1,0,1,0,1
412,1,1,0,1,0,0,0
413,0,0,1,0,1,0,0
414,1,1,1,0,1,0,0
415,1,1,0,1,0,0,0
416,1,1,1,0,0,0,0
417,0,0,1,0,1,0,1
418,0,0,0,0,0,1,1
419,0,0,0,0,0,0,1
420,1,1,1,1,0,0,0
421,1,1,0,0,0,0,1
422,1,1,0,0,0,0,0
423,1,1,1,0,0,0,1
424,0,0,0,0,0,0,0
425,0,0,0,0,0,0,1
426,0,0,0,0,1,0,1
427,1,1,1,0,0,0,0
428,1,1,1,1,0,0,0
429,1,1,0,0,0,0,0
430,0,0,0,0,0,0,0
431,0,0,1,0,1,0,0
432,1,1,0,1,0,0,1
433,1,0,1,0,0,0,0
434,0,0,0,0,1,0,1
435,0,0,0,0,0,0,1
436,0,0,0,0,1,0,0
437,1,1,1,0,0,0,1
438,1,1,0,1,0,0,0
439,0,0,0,0,0,0,0
440,1,2,1,1,0,0,0
441,0,0,1,0,1,0,0
442,1,1,1,1,0,0,1
443,1,1,0,0,1,0,1
444,1,1,0,0,1,0,1
445,1,0,1,1,0,1,1
446,1,1,1,0,0,0,0
447,0,0,0,1,1,0,0
448,0,0,0,0,1,0,0
449,1,1,1,0,0,0,0
450,1,1,1,0,0,0,1
451,1,1,0,1,0,1,1
452,0,0,0,1,0,0,1
453,1,1,0,0,0,0,0
454,1,1,0,0,1,0,0
455,0,0,0,0,0,0,1
456,0,0,0,0,0,0,0
457,0,0,0,1,0,0,1
458,0,0,0,1,0,0,1
459,0,0,0,1,0,0,0
460,1,1,1,1,0,0,1
461,1,1,1,0,1,1,0
462,0,0,0,1,0,0,0
463,0,0,0,0,0,0,1
464,0,0,1,0,0,0,1
465,0,0,1,0,0,0,0
466,1,1,0,0,0,0,0
467,1,1,1,1,0,0,0
468,1,1,0,0,0,0,1
469,1,1,1,1,0,0,0
470,1,1,0,0,0,0,1
471,1,1,0,1,0,0,1
472,1,1,0,0,0,0,1
473,1,1,0,0,0,0,0
474,0,0,0,0,0,1,0
475,2,1,1,0,0,0,0
476,1,1,0,0,0,0,0
477,1,1,1,0,1,0,0
478,0,0,1,1,0,0,0
479,0,0,1,0,1,0,1
480,1,1,0,1,0,0,0
481,1,1,0,1,0,0,1
482,1,1,1,0,1,0,0
483,0,0,0,1,1,0,0
484,1,1,1,0,0,0,0
485,1,1,1,0,0,0,1
486,1,1,1,0,1,0,0
487,1,1,1,0,0,0,0
488,1,1,1,0,1,0,0
489,1,0,1,0,0,0,0
490,1,1,0,0,0,0,1
491,1,1,1,0,0,0,0
492,1,1,1,0,0,0,0
493,0,0,1,0,0,0,1
494,0,0,1,1,0,1,1
495,0,0,1,0,0,0,1
496,1,1,1,1,1,0,0
497,1,1,1,0,0,0,1
498,0,1,0,0,0,0,1
499,1,1,0,1,0,0,0
500,1,1,1,1,0,0,0
501,1,1,1,0,0,0,1
502,0,0,0,1,1,0,0
503,1,1,0,1,0,1,1
504,0,0,0,0,0,0,0
505,0,1,0,0,0,0,1
506,0,1,0,1,0,0,0
507,1,1,1,0,0,0,1
508,0,0,0,1,0,0,0
509,1,1,1,0,0,0,0
510,1,1,1,0,0,0,1
511,0,0,1,0,0,0,0
512,0,0,0,0,0,0,1
513,0,0,1,0,0,1,1
514,0,0,0,1,1,1,0
515,1,1,0,0,1,1,0
516,0,0,1,1,0,0,0
517,1,1,0,1,0,0,0
518,1,1,0,1,1,0,0
519,1,0,1,1,0,1,1
520,2,1,1,1,0,0,0
521,1,1,0,0,0,0,0
522,0,0,1,1,1,0,1
523,1,1,1,0,0,0,1
524,1,1,1,0,0,0,0
525,2,1,1,0,1,0,0
526,1,1,0,0,0,0,0
527,0,1,1,1,1,0,0
528,1,0,0,0,1,0,1
529,1,1,0,0,1,0,1
530,0,0,0,0,0,0,1
531,1,1,1,0,0,0,0
532,1,1,1,0,1,1,0
533,1,1,0,0,1,0,0
534,0,0,1,1,0,0,1
535,1,1,1,0,0,1,0
536,0,0,1,0,0,1,0
537,0,0,0,0,0,0,1
538,1,1,1,1,0,0,1
539,0,0,0,0,0,0,0
540,1,1,0,1,0,0,0
541,1,1,0,0,1,0,0
542,1,1,0,0,0,0,1
543,0,0,1,0,0,0,0
544,1,1,0,1,0,0,0
545,0,0,0,1,1,0,0
546,1,1,1,1,0,0,0
547,1,1,0,1,1,0,0
548,1,1,1,0,0,0,0
549,1,1,0,0,0,0,1
550,1,1,1,0,1,0,0
551,1,0,1,0,0,0,1
552,1,1,0,1,0,0,0
553,1,1,0,0,0,0,1
554,1,1,1,1,0,0,0
555,1,1,0,1,0,0,0
556,1,1,1,0,0,0,0
557,0,0,0,1,0,0,1
558,1,1,1,1,0,1,0
559,0,0,1,0,0,0,0
560,0,0,0,0,0,0,1
561,2,1,1,0,0,0,0
562,1,1,1,0,1,0,0
563,1,1,1,0,1,1,0
564,0,0,1,0,1,0,0
565,1,1,0,0,0,0,1
566,1,1,0,1,0,0,0
567,1,1,0,0,0,0,1
568,0,0,1,0,0,0,1
569,1,1,0,1,0,0,0
570,1,1,1,1,1,1,0
571,1,1,1,0,0,0,0
572,0,0,1,1,0,0,0
573,0,0,0,0,1,0,1
574,1,1,1,0,0,0,0
575,1,1,1,0,1,0,0
576,0,0,1,0,0,0,0
577,1,1,0,1,0,1,0
578,1,1,0,0,1,0,0
579,0,0,0,0,0,0,1
580,0,1,1,1,0,1,1
581,1,1,1,1,0,0,1
582,1,1,1,1,0,0,0
583,1,1,1,0,0,0,0
584,1,1,0,0,1,0,1
585,0,0,0,0,1,1,0
586,1,1,1,1,0,0,1
587,1,1,1,0,0,0,0
588,0,0,1,0,0,0,1
589,0,0,0,1,0,0,0
590,0,0,0,0,0,0,1
591,1,1,1,0,0,1,0
592,0,0,0,0,1,0,0
593,1,1,1,1,0,0,0
594,0,0,0,0,0,1,0
595,1,1,0,0,0,1,0
596,1,0,1,1,0,0,1
597,1,1,1,0,0,0,0
598,0,0,0,0,1,0,1
599,1,1,0,0,0,0,1
600,0,0,1,1,1,0,0
601,1,1,1,1,0,0,0
602,1,1,1,1,0,0,1
603,1,1,0,0,0,0,0
604,0,0,0,0,0,0,1
605,0,0,1,0,0,0,0
606,0,0,0,0,0,1,0
607,2,2,1,1,0,0,1
608,0,0,1,0,0,1,0
609,1,1,0,0,0,0,0
610,1,1,0,0,0,0,1
611,1,2,0,1,0,0,0
612,0,0,1,1,0,1,0
613,1,1,1,0,1,0,0
614,2,2,1,1,0,0,1
615,1,1,0,0,0,0,1
616,1,1,0,1,0,0,0
617,1,1,1,0,0,0,0
618,1,0,0,0,0,0,1
619,1,1,1,0,0,0,0
620,1,1,0,0,0,0,0
621,1,0,1,0,0,0,1
622,0,0,0,0,1,0,1
623,1,1,1,0,1,0,1
624,1,1,1,1,0,0,0
625,1,1,1,1,0,0,0
626,0,0,1,1,0,1,0
627,1,1,1,0,1,1,0
628,1,1,1,0,0,0,0
629,1,1,1,1,0,0,0
630,0,0,1,1,0,0,0
631,1,1,1,0,0,0,0
632,1,1,1,1,0,0,0
633,1,1,0,0,0,0,0
634,1,1,1,1,0,0,1
635,0,0,0,1,1,0,0
636,0,0,0,0,0,0,0
637,0,0,0,0,1,0,0
638,1,1,1,0,0,0,0
639,0,0,0,0,1,0,0
640,1,1,0,0,0,0,0
641,0,0,0,0,0,0,0
642,1,1,1,0,1,0,0
643,0,0,1,1,0,0,0
644,0,0,1,0,0,0,1
645,1,1,1,0,1,0,0
646,1,0,1,0,1,1,0
647,1,1,0,1,0,0,0
648,0,0,0,1,0,0,1
649,0,0,0,1,0,0,1
650,0,0,0,0,0,1,1
651,1,1,1,0,0,1,0
652,0,1,0,0,0,0,0
653,1,1,1,0,0,0,1
654,1,1,0,0,0,0,1
655,0,1,0,0,0,0,0
656,0,0,1,1,0,0,0
657,0,0,0,0,0,1,1
658,1,1,0,0,0,1,0
659,0,1,0,0,0,0,1
660,0,1,0,0,0,1,0
661,1,1,1,0,0,0,0
662,1,1,0,0,0,0,1
663,0,0,1,1,0,0,0
664,1,1,0,0,1,0,1
665,0,0,1,0,1,0,1
666,0,1,0,0,0,0,1
667,0,1,0,0,1,0,0
668,1,1,1,0,0,0,0
669,1,1,0,0,0,1,0
670,1,1,1,0,0,1,0
671,1,1,0,0,0,1,1
672,1,1,1,1,0,0,0
673,0,0,0,0,1,0,0
674,0,0,1,0,0,1,0
675,1,1,0,0,0,0,0
676,0,0,0,0,0,0,1
677,1,0,1,0,0,0,1
678,0,0,0,1,1,0,0
679,2,1,1,0,0,1,1
680,1,1,1,0,1,0,0
681,1,1,1,0,0,0,1
682,1,1,0,1,1,0,1
683,1,1,1,0,1,0,0
684,1,1,0,0,0,0,1
685,1,1,1,0,0,0,0
686,1,1,0,0,1,0,1
687,1,1,0,1,0,0,0
688,1,1,1,0,0,0,0
689,1,1,1,0,1,0,1
690,0,0,0,0,1,0,0
691,0,0,0,1,0,0,1
692,1,1,0,0,0,0,0
693,1,0,1,0,0,0,0
694,1,1,1,0,0,0,0
695,1,1,0,0,0,0,1
696,1,0,1,1,0,0,1
697,0,0,0,0,0,0,1
698,1,1,1,1,0,0,0
699,1,1,1,0,0,0,1
700,0,0,1,0,1,0,1
701,1,1,0,1,0,0,1
702,1,1,1,1,0,0,1
