,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
0,7,8,5,3,3,2,0,1,0,0,0,1
1,6,5,5,3,3,0,1,1,1,0,0,0
2,6,6,6,3,2,1,0,0,1,1,0,0
3,6,6,5,3,4,3,0,0,1,0,0,0
4,7,7,4,3,2,2,1,0,1,1,0,0
5,6,9,4,3,3,2,1,0,1,0,0,0
6,6,6,5,4,3,1,1,1,1,0,0,0
7,5,5,5,3,3,2,1,1,0,0,0,0
8,5,5,5,4,2,1,1,1,1,0,1,0
9,5,5,5,4,2,2,1,1,1,0,0,0
10,6,5,5,3,2,2,0,1,0,1,1,1
11,7,7,5,3,2,2,0,0,1,0,0,0
12,9,6,5,3,2,2,0,0,1,0,1,0
13,6,6,6,4,2,1,0,0,0,0,0,1
14,8,6,6,4,3,1,0,1,0,1,0,0
15,6,5,5,3,2,3,1,1,1,1,0,0
16,6,6,8,3,3,1,0,0,0,1,0,0
17,6,6,6,3,2,2,0,0,0,0,0,0
18,5,5,5,3,3,3,1,1,1,0,0,0
19,9,7,5,4,3,3,1,0,0,0,1,0
20,7,6,5,3,2,1,1,1,1,1,0,1
21,5,5,5,3,3,1,1,1,1,0,0,0
22,6,6,5,4,2,1,0,0,1,0,1,0
23,6,6,5,4,2,1,0,0,0,1,0,0
24,6,6,5,4,3,1,1,0,1,0,0,0
25,8,6,5,3,2,1,1,1,1,1,0,0
26,5,5,4,3,3,0,1,1,1,0,0,1
27,5,5,5,4,2,1,0,0,0,0,0,0
28,7,6,5,3,3,2,1,1,1,0,0,0
29,5,5,4,4,3,2,1,1,1,0,0,0
30,6,6,5,5,2,1,0,0,0,0,0,1
31,6,6,5,5,3,1,1,1,1,0,0,1
32,10,7,5,4,2,2,0,1,0,0,0,0
33,7,6,5,3,3,1,1,1,0,0,0,0
34,7,7,6,3,2,1,0,0,0,1,1,0
35,7,6,5,3,2,1,1,0,1,0,0,0
36,6,7,5,3,3,1,0,0,0,1,0,1
37,7,6,8,3,2,2,0,0,1,0,1,0
38,6,6,5,3,2,2,1,1,1,1,0,0
39,5,6,4,4,3,2,1,1,1,0,0,0
40,8,6,4,3,2,2,1,1,1,1,0,0
41,7,6,5,3,3,2,1,0,0,1,0,0
42,9,5,6,3,3,1,1,1,1,0,0,0
43,7,5,5,3,3,3,1,1,1,1,0,0
44,5,5,5,3,2,1,1,1,1,0,0,0
45,5,5,5,4,3,1,0,0,0,1,0,0
46,6,6,5,3,2,2,0,0,1,0,0,0
47,6,6,5,4,3,2,0,0,0,0,0,0
48,6,6,7,3,2,3,0,0,0,0,1,0
49,6,6,6,4,2,1,0,0,0,0,0,1
50,7,6,5,3,3,1,1,0,1,1,0,0
51,6,5,5,3,2,0,1,1,0,0,0,0
52,6,6,5,3,3,2,0,0,1,0,0,0
53,6,6,4,4,3,1,0,0,1,0,0,1
54,7,6,5,3,2,2,1,1,1,0,1,0
55,5,5,5,3,2,2,0,0,0,1,0,0
56,6,6,6,3,4,1,0,0,0,0,1,0
57,6,6,5,3,2,3,1,1,1,1,0,0
58,5,5,5,3,3,1,0,0,0,0,0,0
59,6,6,6,3,2,1,0,0,0,0,1,0
60,6,6,5,4,2,1,0,0,0,0,0,0
61,6,6,6,4,3,2,1,1,0,0,0,0
62,6,6,5,3,2,2,0,0,1,1,1,1
63,6,6,5,3,2,1,1,1,1,0,1,0
64,5,5,5,3,2,2,0,0,0,1,0,0
65,6,6,6,3,2,2,1,1,0,0,1,0
66,6,5,5,5,2,2,1,1,1,0,0,0
67,6,5,5,3,3,2,0,1,0,0,0,1
68,6,6,5,3,2,2,0,1,0,1,0,0
69,6,5,6,3,2,2,1,1,0,0,1,0
70,5,5,5,3,3,1,1,1,1,0,0,0
71,5,5,5,4,2,2,1,1,0,0,0,0
72,7,7,5,3,3,2,1,1,1,0,0,0
73,5,5,4,5,3,1,1,1,1,0,0,1
74,6,6,5,4,3,1,1,0,0,0,0,0
75,9,6,5,3,3,2,0,0,1,1,0,0
76,6,6,5,3,2,2,0,0,0,0,1,0
77,6,6,5,4,2,1,1,1,0,0,0,0
78,5,5,7,3,3,1,1,1,0,0,0,0
79,6,6,6,3,3,2,0,0,0,1,1,0
80,6,6,5,3,2,2,1,1,0,0,0,0
81,6,5,5,3,3,2,1,1,1,0,0,0
82,5,5,5,4,3,2,1,1,1,0,0,0
83,6,6,5,4,2,1,0,0,1,0,0,1
84,6,6,5,3,3,1,0,0,0,1,0,0
85,9,8,5,3,3,0,1,0,0,0,0,1
86,7,7,5,3,3,1,1,1,1,0,1,1
87,5,5,5,3,2,0,1,1,0,1,0,0
88,6,5,6,3,2,2,1,1,0,0,1,0
89,6,6,5,3,2,2,1,1,1,1,0,0
90,7,4,5,3,2,1,0,1,0,0,1,0
91,7,5,5,3,2,2,1,1,1,1,0,0
92,5,5,5,2,3,2,1,1,0,1,0,0
93,6,6,5,3,2,1,0,0,1,0,1,0
94,6,6,5,4,2,3,1,1,0,0,0,0
95,5,5,5,3,3,2,1,1,1,0,0,0
96,5,6,5,3,3,1,1,1,0,0,1,0
97,5,5,5,4,2,2,1,1,0,0,0,0
98,5,7,5,3,3,1,1,1,1,1,0,0
99,6,6,5,3,2,1,0,0,0,0,0,0
100,7,7,6,3,3,3,0,1,0,1,0,0
101,7,6,5,3,2,3,1,1,0,0,0,0
102,5,5,5,3,3,1,1,1,1,1,0,0
103,5,5,5,3,3,2,1,1,0,0,0,0
104,5,5,5,3,3,2,1,1,1,0,0,0
105,6,6,5,3,3,2,0,0,1,1,0,0
106,6,6,5,3,2,3,0,0,0,1,1,0
107,7,7,5,3,2,2,0,0,1,0,0,0
108,7,6,5,3,4,1,1,1,1,1,0,0
109,5,5,4,3,3,2,1,1,1,1,0,0
110,5,5,5,3,2,2,0,0,0,0,0,1
111,6,6,6,3,4,1,0,0,0,1,0,0
112,6,6,5,3,3,3,0,0,1,0,0,0
113,6,6,5,3,3,1,1,1,1,1,0,0
114,6,6,6,3,2,1,0,0,0,0,0,0
115,7,7,7,3,3,2,1,1,1,1,0,0
116,5,5,5,3,2,2,1,1,1,0,1,1
117,7,6,5,3,2,1,0,0,0,0,0,0
118,6,6,5,4,3,2,0,0,0,0,0,0
119,6,6,6,3,2,1,1,1,0,0,1,0
120,6,5,5,4,2,1,1,1,1,0,0,1
121,6,7,5,3,3,1,0,0,0,1,0,0
122,8,7,5,2,3,2,1,0,1,1,0,0
123,6,6,5,3,4,1,0,0,0,0,0,0
124,7,6,5,4,3,1,1,1,1,0,0,0
125,7,6,5,3,2,3,0,0,0,0,1,0
126,6,6,5,4,3,2,0,0,1,0,0,1
127,6,6,5,3,3,1,0,0,0,0,0,0
128,6,6,6,3,3,1,0,0,0,0,1,0
129,5,5,8,4,2,2,1,1,1,0,0,0
130,8,6,5,3,2,2,0,0,0,0,1,0
131,7,6,6,4,2,2,0,0,0,0,0,0
