,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),0
195,1,1,0,0,1,0,0
196,0,0,1,0,0,0,0
197,1,1,1,1,1,0,0
198,0,0,0,0,0,0,1
199,1,1,1,1,0,0,0
200,1,1,1,0,1,0,0
201,1,1,0,0,1,1,0
202,2,1,1,1,0,0,0
203,1,1,0,0,0,0,0
204,0,0,1,0,0,0,1
205,0,0,0,0,0,0,1
206,1,1,1,1,0,0,0
207,1,0,0,0,0,0,1
208,1,1,0,1,0,0,0
209,1,1,1,0,0,0,0
210,0,0,0,0,0,0,1
211,1,1,0,0,1,0,0
212,0,0,0,1,0,0,1
213,1,1,1,0,0,0,0
214,1,1,0,0,0,0,1
215,1,0,1,1,0,0,0
216,0,0,0,1,0,0,0
217,0,0,0,1,1,1,1
218,0,0,0,0,1,0,1
219,1,1,1,1,1,0,0
220,1,1,1,0,0,0,0
221,1,1,0,0,0,0,1
222,1,1,0,0,0,0,1
223,0,0,0,1,0,0,1
224,1,0,1,0,0,0,0
225,1,1,1,0,1,0,1
226,1,1,1,0,0,0,1
227,1,1,1,0,1,0,0
228,1,1,1,1,0,1,0
229,1,1,1,0,0,0,0
230,1,1,0,0,0,0,1
231,1,1,1,0,0,0,0
232,1,1,0,0,0,0,1
233,1,1,0,0,0,0,1
234,1,1,1,0,1,1,0
235,1,1,1,0,0,0,0
236,0,0,0,1,0,0,1
237,1,1,0,1,0,0,0
238,0,0,0,0,0,0,1
239,1,0,0,1,0,0,1
240,0,0,0,0,1,1,1
241,1,1,1,0,0,1,0
242,1,1,0,0,0,0,0
243,1,1,1,0,0,0,0
244,0,0,1,0,1,0,1
245,1,0,0,1,0,0,1
246,1,1,1,0,1,0,0
247,0,0,0,0,0,0,0
248,1,1,1,0,0,0,0
249,1,1,0,1,0,0,0
250,0,0,0,1,0,0,1
251,1,2,0,0,0,0,1
252,1,1,0,1,0,0,1
253,0,0,0,1,0,0,1
254,1,1,1,0,1,0,0
255,1,1,0,0,0,0,1
256,1,1,0,0,0,0,1
257,0,0,0,0,0,0,1
258,1,1,1,0,0,0,0
259,1,1,1,0,0,0,1
260,1,0,1,0,0,0,1
261,0,0,0,0,0,0,0
262,1,1,0,1,1,0,0
263,0,0,1,0,0,0,0
264,1,2,0,1,0,0,1
265,1,1,1,1,0,0,0
266,0,0,1,0,0,1,1
267,0,0,0,0,0,0,1
268,0,0,1,0,0,0,0
269,0,0,0,0,1,1,0
270,1,0,1,0,0,0,0
271,1,0,1,0,0,0,0
272,1,1,1,0,0,0,0
273,0,0,0,0,1,0,0
274,1,1,1,1,1,0,0
275,0,0,0,1,0,1,1
276,0,0,0,0,1,0,0
277,1,1,1,0,0,0,0
278,0,0,0,0,1,0,1
279,0,0,1,1,1,0,0
280,1,1,1,0,1,0,0
281,1,1,0,0,1,0,1
282,0,0,0,1,0,0,1
283,0,0,0,1,0,0,1
284,1,1,1,1,1,1,0
285,0,0,0,0,0,0,1
286,2,1,1,1,1,0,1
287,0,1,1,0,0,0,1
288,0,0,0,0,1,0,0
289,0,0,1,0,0,0,1
290,0,1,0,0,0,1,0
291,1,1,0,1,0,0,0
292,0,1,1,0,1,1,0
293,1,1,0,0,0,0,0
294,1,1,0,0,0,0,0
295,1,1,1,0,0,0,0
296,1,1,1,0,0,0,1
297,0,1,0,1,1,0,0
298,1,1,0,1,0,0,1
299,1,1,1,0,1,1,0
300,1,1,1,0,1,0,0
301,1,1,1,0,1,1,0
302,0,0,0,0,1,0,0
303,1,1,1,0,0,1,0
304,0,0,1,0,0,0,0
305,1,1,0,0,0,1,0
306,1,1,1,0,0,1,1
307,0,0,0,1,0,0,1
308,1,1,1,0,1,0,0
309,0,0,0,0,0,1,1
310,1,1,1,0,1,0,0
311,1,1,1,0,1,1,0
312,0,0,1,1,0,0,0
313,1,0,1,0,1,0,1
314,0,0,1,0,1,0,1
315,1,1,1,0,0,0,0
316,0,0,1,0,0,1,0
317,1,1,0,1,0,0,1
318,0,0,0,0,1,0,0
319,0,0,1,0,0,0,1
320,0,0,0,0,0,0,1
321,1,0,1,0,0,1,0
322,0,0,0,1,0,0,0
323,0,0,0,0,1,0,1
324,0,0,1,0,1,0,1
325,0,1,0,0,1,0,1
326,1,1,0,1,1,0,0
327,1,0,1,1,0,0,1
328,1,1,0,0,0,1,0
329,1,1,1,0,0,0,0
330,0,0,0,1,0,0,1
331,1,1,1,0,0,0,0
332,1,1,1,0,0,0,1
333,1,1,0,0,0,0,1
334,1,1,1,0,0,0,0
335,2,1,0,0,0,0,1
336,1,1,0,1,1,0,0
337,0,0,0,0,0,0,1
338,1,1,1,0,0,0,1
339,0,0,0,1,0,0,0
340,0,0,0,0,0,0,0
341,1,1,1,1,0,0,0
342,1,1,1,0,0,0,1
343,1,1,0,1,0,0,1
344,1,0,1,0,0,0,1
345,0,1,0,1,0,0,1
346,1,1,1,0,0,0,0
347,1,1,1,1,0,0,0
348,1,1,0,0,1,0,1
349,0,0,0,0,1,0,0
350,1,1,0,0,0,0,1
351,1,0,1,1,0,1,0
352,0,0,0,0,0,0,1
353,0,0,0,0,0,0,0
354,1,1,0,0,0,0,0
355,1,0,0,1,0,0,1
356,1,1,1,0,1,0,1
357,0,0,0,1,0,0,1
358,1,1,0,0,0,0,1
359,1,1,1,0,1,0,0
360,1,1,1,0,0,0,0
361,1,1,1,0,1,1,0
362,0,0,1,1,0,0,0
363,0,1,1,0,1,0,1
364,1,1,1,0,0,0,0
365,0,0,1,1,0,1,0
366,0,0,0,1,0,0,1
367,0,0,1,0,0,1,0
368,1,1,1,1,0,1,0
369,1,1,0,0,0,0,1
370,0,0,0,1,1,0,0
371,0,0,1,0,0,0,0
372,0,0,0,0,0,0,1
373,1,1,1,0,0,0,0
374,1,1,0,1,1,0,0
375,1,1,0,0,0,0,0
376,0,0,0,0,1,1,0
377,0,0,0,0,0,0,1
378,0,0,1,0,1,1,0
