,,,,,,,,,,,,s1,s2,s3,s4,s5,s6
0,0,0,0,0,0,1,0,0,0,1,1,0.14983062079532666,0.3913540197259992,0.2733719540829802,0.03977516952781305,0.029406054729584144,0.0977592075291189
0,0,0,0,0,0,1,0,0,1,0,0,0.042369065183186644,0.08352411569375807,0.08975733081370567,0.0,0.040753649488816865,0.10597209068536192
0,0,0,0,0,0,1,0,0,1,0,1,0.6872967032967034,0.9692307692307692,0.0,0.0,0.6811428571428573,0.0010526315789473684
0,0,0,0,0,0,1,0,0,1,1,0,0.3027142857142857,0.3027142857142857,0.17385714285714282,0.0,0.0009523809523809524,0.0019047619047619048
0,0,0,0,0,0,1,0,0,1,1,1,0.3684578754578755,0.45116300366300366,0.1759047619047619,0.0,0.20633333333333334,0.0
0,0,0,0,0,0,1,0,1,0,0,0,0.1329535805420772,0.2734137207572782,0.0,0.17942590012638088,0.1123258039476943,0.0561183499067749
0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.24137730830534776,0.0,0.04089336923275353,0.0,0.0
0,0,0,0,0,0,1,0,1,0,1,0,0.2063969775191586,0.42948798813249384,0.0,0.05106077292057815,0.0,0.0
0,0,0,0,0,0,1,0,1,0,1,1,0.07611416361416362,0.256973581973582,0.0,0.0,0.0,0.0
0,0,0,0,0,0,1,0,1,1,0,0,0.14535875303803955,0.3128306557630629,0.0,0.0,0.06748969716081303,0.04002449628330344
0,0,0,0,0,0,1,0,1,1,0,1,0.10396625184241282,0.20234853089806637,0.0,0.0,0.0,0.0
0,0,0,0,0,0,1,0,1,1,1,0,0.347,0.347,0.01,0.0,0.0,0.0019047619047619048
0,0,0,0,0,0,1,0,1,1,1,1,0.2823291708291709,0.34401792651792645,0.03,0.0,0.0,0.0
0,0,0,0,0,0,1,1,0,0,0,0,0.011384358751801818,0.0013717482572316122,0.2444042234729682,0.1804245760055656,0.11388422304095724,0.0528975817305118
0,0,0,0,0,0,1,1,0,0,0,1,0.01499104555495089,0.0,0.24959756510194214,0.18003809855648018,0.08581075909503116,0.0
0,0,0,0,0,0,1,1,0,0,1,0,0.023752892885445808,0.0,0.2327571768367291,0.14560194946181382,0.0,0.04167401815234042
0,0,0,0,0,0,1,1,0,0,1,1,0.0,0.0,0.38990836940836937,0.11458929958929959,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0.028333525736315725,0.004775915229992978,0.23215137111152906,0.0,0.1059737500138381,0.051375335532332506
0,0,0,0,0,0,1,1,0,1,0,1,0.0,0.0,0.16759125041812492,0.0,0.06592699329741533,0.0
0,0,0,0,0,0,1,1,0,1,1,0,0.0,0.0,0.20523501546229514,0.0,0.0,0.10122110675329003
0,0,0,0,0,0,1,1,0,1,1,1,0.0,0.0,0.22030386267107363,0.042383838383838385,0.008103305049310096,0.041475634925263426
0,0,0,0,0,0,1,1,1,0,0,0,0.0070331086441808785,0.004400390985814346,0.008357613625238321,0.14805845707280615,0.08967216285477293,0.052376552939872006
0,0,0,0,0,0,1,1,1,0,0,1,0.018849449439726343,0.0,0.005416415458375892,0.11771640243420417,0.09192403242259385,0.0
0,0,0,0,0,0,1,1,1,0,1,0,0.0,0.01172831307392014,0.009153266682937408,0.06492374856181295,0.0,0.026168538111308856
0,0,0,0,0,0,1,1,1,0,1,1,0.0,0.0,0.0,0.08710285724683256,0.0,0.0
0,0,0,0,0,0,1,1,1,1,0,0,0.0,0.008959132752535088,0.0,0.0,0.09060064142166886,0.06128998285922593
0,0,0,0,0,0,1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.19106568101279897,0.0
0,0,0,0,0,0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.04117299436677549
0,0,0,0,0,0,1,1,1,1,1,1,0.0,0.0,0.0,0.002857142857142857,0.0,0.0
0,0,0,0,0,1,0,0,0,0,0,0,0.4959095801049307,0.4678857915291472,0.35094738180257684,0.14388926824613477,0.08350727793363229,0.004682150280317459
0,0,0,0,0,1,0,0,0,0,0,1,0.39792942822966665,0.385888935222206,0.3071724173803815,0.12720953492747217,0.07119898625895349,0.008467409602479468
0,0,0,0,0,1,0,0,0,0,1,0,0.38202751503271254,0.4275661542037787,0.312411550437335,0.0718433055116125,0.0,0.0
0,0,0,0,0,1,0,0,0,0,1,1,0.39167583943022677,0.40619144765338744,0.21465197103967396,0.06974917281356982,0.0,0.0
0,0,0,0,0,1,0,0,0,1,0,0,0.42669583450593507,0.34429581518061936,0.30042586758320744,0.0,0.051667867996816906,0.0
0,0,0,0,0,1,0,0,0,1,0,1,0.4067140908202828,0.3367974168475647,0.27551622233057904,0.0,0.0463273616059374,0.0
0,0,0,0,0,1,0,0,0,1,1,0,0.2450841269841269,0.24428412698412694,0.006,0.0,0.0008,0.0
0,0,0,0,0,1,0,0,0,1,1,1,0.28064761904761903,0.279847619047619,0.249,0.0,0.0008,0.0
0,0,0,0,0,1,0,0,1,0,0,0,0.423357631208141,0.4039147759547584,0.0,0.2759177041593494,0.058361730915228796,0.0
0,0,0,0,0,1,0,0,1,0,0,1,0.007955106621773287,0.008202020202020202,0.0,0.007093153759820427,0.006482603815937149,0.0004870931537598204
0,0,0,0,0,1,0,0,1,0,1,0,0.28660145175190954,0.28660145175190954,0.0,0.12637197611544768,0.0,0.0
0,0,0,0,0,1,0,0,1,0,1,1,0.23418745865990695,0.21709334997378044,0.0,0.14414171882339516,0.0,0.0
0,0,0,0,0,1,0,0,1,1,0,0,0.14966998976759027,0.19562998136716225,0.0,0.0,0.046159208621669695,0.0
0,0,0,0,0,1,0,0,1,1,0,1,0.11687894329513152,0.13459233303109397,0.0,0.0,0.09720657272846864,0.0
0,0,0,0,0,1,0,0,1,1,1,0,0.8561040532838446,0.863753822869098,0.0,0.0035294117647058825,0.004852150537634409,0.0
0,0,0,0,0,1,0,0,1,1,1,1,0.5154574498872411,0.5196548385201135,0.0,0.0035294117647058825,0.003602150537634409,0.0
0,0,0,0,0,1,0,1,0,0,0,0,0.32630578356971557,0.0,0.26796750463159125,0.0,0.0,0.0
0,0,0,0,0,1,0,1,0,0,0,1,0.19290307808806254,0.0,0.15551285109799043,0.05538484468747626,0.0,0.0
0,0,0,0,0,1,0,1,0,0,1,0,0.0884922458493887,0.019387755102040816,0.2624268806279201,0.15104282007849842,0.0,0.0
0,0,0,0,0,1,0,1,0,0,1,1,0.2850523365523366,0.01,0.19093296899179255,0.013544266191325014,0.0,0.11020634920634921
0,0,0,0,0,1,0,1,0,1,0,0,0.006999999999999999,0.0,0.005,0.0,0.0,0.0
0,0,0,0,0,1,0,1,0,1,0,1,0.02,0.0,0.0029523809523809524,0.004857142857142857,0.0,0.0
0,0,0,0,0,1,0,1,0,1,1,0,0.07471428571428572,0.002857142857142857,0.238010989010989,0.0,0.0,0.0
0,0,0,0,0,1,0,1,0,1,1,1,0.13715873015873015,0.002857142857142857,0.18514590964590966,0.0,0.0,0.03232539682539682
0,0,0,0,0,1,0,1,1,0,0,0,0.1695491311755892,0.09778876160059329,0.046202314391661774,0.08599323685095982,0.11470042718404881,0.014132918843517727
0,0,0,0,0,1,0,1,1,0,0,1,0.35662453233041463,0.0,0.011115384615384616,0.17209845056903877,0.02025,0.00025
0,0,0,0,0,1,0,1,1,0,1,0,0.2650318687160792,0.02020175438596491,0.011115384615384616,0.36400055732021686,0.0,0.22813780663780658
0,0,0,0,0,1,0,1,1,0,1,1,0.21072992093580323,0.018231660231660233,0.011115384615384616,0.16490695737754563,0.0,0.07078571428571429
0,0,0,0,0,1,0,1,1,1,0,0,0.23969524593054004,0.056745976245976236,0.0,0.0,0.1670744603492446,0.0028382303275920296
0,0,0,0,0,1,0,1,1,1,0,1,0.0036363636363636364,0.0036363636363636364,0.0,0.0,0.04868686868686869,0.0024126984126984128
0,0,0,0,0,1,0,1,1,1,1,0,0.2774238506591448,0.06982439782439782,0.01619047619047619,0.10035714285714285,0.06982439782439782,0.07619047619047618
0,0,0,0,0,1,0,1,1,1,1,1,0.08357142857142857,0.04476190476190476,0.006666666666666666,0.0344047619047619,0.02,0.023571428571428573
0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.2698431061542516,0.5236801153782578,0.23101550315869204,0.0,0.0
0,0,0,0,0,1,1,0,0,0,0,1,0.1765212875359934,0.4075162793862485,0.3414191524849419,0.15027064507559865,0.05111079116961469,0.0
0,0,0,0,0,1,1,0,0,0,1,0,0.0008,0.3087497835497835,0.0104,0.0008,0.0,0.0064
0,0,0,0,0,1,1,0,0,0,1,1,0.13413091581620995,0.34636798234445293,0.08677507100742396,0.024249547184841302,0.029406054729584144,0.0064
0,0,0,0,0,1,1,0,0,1,0,0,0.156506216006216,0.156506216006216,0.13460816960816963,0.0,0.0,0.0
0,0,0,0,0,1,1,0,0,1,0,1,0.40357692307692294,0.5439102564102565,0.06564835164835164,0.0,0.3396666666666667,0.0
0,0,0,0,0,1,1,0,0,1,1,0,0.21058730158730155,0.2350873015873015,0.1571904761904762,0.0,0.0,0.0
0,0,0,0,0,1,1,0,0,1,1,1,0.2782515262515262,0.36212332112332113,0.07844444444444444,0.0,0.14633333333333332,0.0
0,0,0,0,0,1,1,0,1,0,0,0,0.15958655061828433,0.3062849799838964,0.0,0.36327246635373567,0.1481292783583805,0.0
0,0,0,0,0,1,1,0,1,0,0,1,0.04274324359850676,0.20586762989020077,0.0,0.14616775158659429,0.031293241845873426,0.0
0,0,0,0,0,1,1,0,1,0,1,0,0.9465723270440252,0.9573899371069183,0.0,0.01150943396226415,0.0,0.0
0,0,0,0,0,1,1,0,1,0,1,1,0.40387728937728945,0.5180022755022755,0.0,0.0,0.0,0.0
0,0,0,0,0,1,1,0,1,1,0,0,0.49796284018693093,0.5133362979253246,0.0,0.008,0.005262237027214955,0.0015109070034443168
0,0,0,0,0,1,1,0,1,1,0,1,0.24713613751229846,0.2925463885959242,0.0,0.0,0.0,0.0
0,0,0,0,0,1,1,0,1,1,1,0,0.6303333333333332,0.637,0.0,0.0,0.0,0.0
0,0,0,0,0,1,1,0,1,1,1,1,0.4376538461538461,0.4920092685092684,0.0,0.0,0.0,0.0
0,0,0,0,0,1,1,1,0,0,0,0,0.08594785845804451,0.0,0.21839276656727036,0.10530339550811874,0.08007285616927179,0.0
0,0,0,0,0,1,1,1,0,0,0,1,0.05333416094185792,0.0,0.22828759943396298,0.12722390788404017,0.08272594103439453,0.0
0,0,0,0,0,1,1,1,0,0,1,0,0.0,0.0,0.37514759913289325,0.09823656800715627,0.0,0.0
0,0,0,0,0,1,1,1,0,0,1,1,0.0,0.0,0.35140445175739293,0.09791859447741803,0.0,0.0
0,0,0,0,0,1,1,1,0,1,0,0,0.03604396963933928,0.034694574219782566,0.08956806386620954,0.0,0.20611244380167829,0.0
0,0,0,0,0,1,1,1,0,1,0,1,0.02206761234990149,0.01733539659164209,0.1169086361021929,0.0,0.1298088170449113,0.0
0,0,0,0,0,1,1,1,0,1,1,0,0.0012121212121212121,0.0012121212121212121,0.8814417117473721,0.013174825174825176,0.0018181818181818182,0.006403459119496856
0,0,0,0,0,1,1,1,0,1,1,1,0.0,0.0,0.6317930311068242,0.03389199689199689,0.0029485411140583555,0.0
0,0,0,0,0,1,1,1,1,0,0,0,0.0,0.01135049583070786,0.0,0.10949054231478093,0.08058997272437317,0.01077315768717841
0,0,0,0,0,1,1,1,1,0,0,1,0.010767570357057867,0.0017940825362937401,0.003549277518846604,0.22536676056822377,0.06545264594981537,0.0027355814923705948
0,0,0,0,0,1,1,1,1,0,1,0,0.0,0.0,0.0,0.12181478345393407,0.0,0.0
0,0,0,0,0,1,1,1,1,0,1,1,0.0,0.0,0.0,0.03424170042908183,0.0,0.0
0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.10934172109064867,0.024838677887485058
0,0,0,0,0,1,1,1,1,1,0,1,0.0,0.0,0.0,0.06,0.15962636995123453,0.00756508494135939
0,0,0,0,0,1,1,1,1,1,1,0,0.0,0.0,0.02,0.0,0.0,0.0
0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.02,0.0,0.0
0,0,0,0,1,0,0,0,0,0,0,0,0.459448205490087,0.4368399054722108,0.3389649646355338,0.15738524644835125,0.0,0.03860612015243965
0,0,0,0,1,0,0,0,0,0,0,1,0.27774504357292773,0.200496325414221,0.42807544520294205,0.29755963636880367,0.0,0.0
0,0,0,0,1,0,0,0,0,0,1,0,0.4166766803914607,0.4117992806105788,0.3221524987837664,0.132219182409569,0.0,0.06028833567337508
0,0,0,0,1,0,0,0,0,0,1,1,0.3437599132687316,0.31687043149479094,0.2317950158424382,0.14777338348179891,0.0,0.0
0,0,0,0,1,0,0,0,0,1,0,0,0.3674402874988947,0.39463728835326206,0.3133164336819646,0.0,0.0,0.06736936170348802
0,0,0,0,1,0,0,0,0,1,0,1,0.23779797979797984,0.23779797979797984,0.12623160173160175,0.0,0.0,0.0
0,0,0,0,1,0,0,0,0,1,1,0,0.319202361157758,0.3356809602332975,0.2924178955258159,0.0,0.0,0.05654047233131014
0,0,0,0,1,0,0,0,0,1,1,1,0.26681050472623513,0.2665882825040129,0.3779742286427679,0.0,0.0,0.00267665418227216
0,0,0,0,1,0,0,0,1,0,0,0,0.3380057537589323,0.33464141577364814,0.0,0.11998541865381732,0.005654782702387537,0.07076538053650827
0,0,0,0,1,0,0,0,1,0,0,1,0.40212835762197585,0.40212835762197585,0.0,0.03380268131978931,0.0,0.0
0,0,0,0,1,0,0,0,1,0,1,0,0.31275346843328167,0.3253484245952196,0.0,0.12561649803337083,0.002996394858725222,0.0643701670860084
0,0,0,0,1,0,0,0,1,0,1,1,0.3306908724460865,0.3138714356924437,0.0,0.11438689653930618,0.0,0.0
0,0,0,0,1,0,0,0,1,1,0,0,0.40920838652930336,0.3603957666306116,0.0,0.0,0.0,0.0
0,0,0,0,1,0,0,0,1,1,0,1,0.4716393606393608,0.4716393606393608,0.0,0.0,0.0,0.0
0,0,0,0,1,0,0,0,1,1,1,0,0.22089176637700997,0.2400480947706516,0.0,0.0,0.0,0.0
0,0,0,0,1,0,0,0,1,1,1,1,0.4469140304140305,0.4469140304140305,0.0,0.0,0.0,0.0
0,0,0,0,1,0,0,1,0,0,0,0,0.19646256705881435,0.04873155431186277,0.22397551346115965,0.11764758234761713,0.0,0.02375327139401844
0,0,0,0,1,0,0,1,0,0,0,1,0.06511588260868283,0.020112905714539334,0.13063263975288217,0.6231327366668515,0.0,0.005308095103339159
0,0,0,0,1,0,0,1,0,0,1,0,0.10529554173847205,0.024908901218661402,0.22156429125503518,0.1817485099836314,0.0,0.012192039074077671
0,0,0,0,1,0,0,1,0,0,1,1,0.24737663097136778,0.0073054758107389695,0.21255678590415428,0.2555652160704792,0.0,0.11732352092352093
0,0,0,0,1,0,0,1,0,1,0,0,0.7727582462579013,0.0945935519615939,0.08079653269165005,0.010953217773404592,0.019939682539682542,0.009619115029712914
0,0,0,0,1,0,0,1,0,1,0,1,0.3394935064935065,0.052653679653679654,0.05329220779220779,0.20572294372294372,0.0,0.0006060606060606061
0,0,0,0,1,0,0,1,0,1,1,0,0.5178685314559914,0.09306238664994078,0.1269766591595814,0.00802638850511191,0.0,0.0035461249664789484
0,0,0,0,1,0,0,1,0,1,1,1,0.36041414141414135,0.052653679653679654,0.11061760461760464,0.08372294372294373,0.0,0.04490764790764791
0,0,0,0,1,0,0,1,1,0,0,0,0.3397316017316017,0.0009090909090909091,0.00045454545454545455,0.00045454545454545455,0.003181818181818182,0.0009090909090909091
0,0,0,0,1,0,0,1,1,0,0,1,0.2148546297184068,0.030761343919238654,0.0,0.041942661913250155,0.0,0.0
0,0,0,0,1,0,0,1,1,0,1,0,0.33536002886002886,0.0,0.0,0.19829004329004327,0.0,0.13402669552669555
0,0,0,0,1,0,0,1,1,0,1,1,0.1916948173085944,0.0410292010620958,0.0,0.09820406799083267,0.0,0.03357142857142857
0,0,0,0,1,0,0,1,1,1,0,0,0.01710407239819005,0.009773755656108597,0.0,0.0,0.0015384615384615385,0.001807941424950718
0,0,0,0,1,0,0,1,1,1,0,1,0.03973232323232323,0.03723232323232323,0.0,0.0,0.0,0.0
0,0,0,0,1,0,0,1,1,1,1,0,0.08877073906485672,0.011440422322775264,0.01619047619047619,0.08583333333333332,0.0015384615384615385,0.0595054945054945
0,0,0,0,1,0,0,1,1,1,1,1,0.09663708513708513,0.05532756132756132,0.006666666666666666,0.041071428571428564,0.0,0.023571428571428573
0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.2701122996703802,0.3819333946105907,0.0,0.0,0.0
0,0,0,0,1,0,1,0,0,0,0,1,0.014367201426024956,0.0160427807486631,0.015953654188948306,0.019661319073083782,0.002352941176470588,0.0
0,0,0,0,1,0,1,0,0,0,1,0,0.03202776772205734,0.3338861224902561,0.41519332778797524,0.02619213021457708,0.0,0.15467782281217551
0,0,0,0,1,0,1,0,0,0,1,1,0.045471517480341006,0.18478399563244569,0.1687965187340154,0.02228498063174181,0.002352941176470588,0.08003070074178859
0,0,0,0,1,0,1,0,0,1,0,0,0.0007407407407407407,0.006031746031746031,0.09354497354497354,0.0,0.002962962962962963,0.0007407407407407407
0,0,0,0,1,0,1,0,0,1,0,1,0.15333333333333335,0.17866666666666667,0.7473333333333333,0.0,0.13466666666666666,0.0
0,0,0,0,1,0,1,0,0,1,1,0,0.18504761904761907,0.18504761904761907,0.11738095238095238,0.0,0.0,0.0
0,0,0,0,1,0,1,0,0,1,1,1,0.1966007326007326,0.2176391941391941,0.45271428571428574,0.0,0.048,0.0
0,0,0,0,1,0,1,0,1,0,0,0,0.060216139642351105,0.12396981113259031,0.0,0.07870312189637917,0.0,0.08582207644178066
0,0,0,0,1,0,1,0,1,0,0,1,0.19022582972582977,0.19022582972582977,0.0,0.1483037518037518,0.0,0.0
0,0,0,0,1,0,1,0,1,0,1,0,0.15572055948363395,0.3197657627563245,0.0,0.0664003291015335,0.0,0.023710157392049333
0,0,0,0,1,0,1,0,1,0,1,1,0.13613486513486514,0.25186230436230445,0.0,0.045565656565656566,0.0,0.0
0,0,0,0,1,0,1,0,1,1,0,0,0.0,0.7114285714285714,0.0,0.0,0.0,0.28857142857142853
0,0,0,0,1,0,1,0,1,1,0,1,0.0,0.15073015873015874,0.0,0.0,0.0,0.0
0,0,0,0,1,0,1,0,1,1,1,0,0.2473333333333333,0.5106666666666666,0.01,0.0,0.0,0.11857142857142859
0,0,0,0,1,0,1,0,1,1,1,1,0.1924896214896215,0.2745757020757021,0.03,0.0,0.0,0.0
0,0,0,0,1,0,1,1,0,0,0,0,0.015900684008156613,0.0,0.20029936327403003,0.1544379123860813,0.0,0.04553145835477751
0,0,0,0,1,0,1,1,0,0,0,1,0.0,0.0,0.45695057098937686,0.2597618322700776,0.0,0.0
0,0,0,0,1,0,1,1,0,0,1,0,0.020873769216343003,0.0,0.2176757925391572,0.1495462405127386,0.0,0.04441386429649089
0,0,0,0,1,0,1,1,0,0,1,1,0.0,0.0,0.4115933117960647,0.19275166604258673,0.0,0.0
0,0,0,0,1,0,1,1,0,1,0,0,0.01946823285193155,0.0,0.33835693960924634,0.0,0.0,0.03911575145938265
0,0,0,0,1,0,1,1,0,1,0,1,0.0,0.0,0.3819047619047619,0.0,0.0,0.0
0,0,0,0,1,0,1,1,0,1,1,0,0.009956669137691606,0.0,0.2733887132669174,0.0,0.0,0.07704856442050173
0,0,0,0,1,0,1,1,0,1,1,1,0.0,0.0,0.2708165165045061,0.030262626262626262,0.0,0.027033358855080382
0,0,0,0,1,0,1,1,1,0,0,0,0.0039419600779971005,0.0,0.0045040512709877386,0.16686905294632248,0.0,0.05416963104555253
0,0,0,0,1,0,1,1,1,0,0,1,0.0,0.0,0.0,0.06230983359630185,0.0,0.0
0,0,0,0,1,0,1,1,1,0,1,0,0.0016105565647707315,0.007282010885836649,0.006555869508612193,0.10977205345237445,0.0,0.038591379998722884
0,0,0,0,1,0,1,1,1,0,1,1,0.0,0.0,0.0,0.07903698946980194,0.0,0.0
0,0,0,0,1,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.08390819798006804
0,0,0,0,1,0,1,1,1,1,0,1,0.1834097569097569,0.0,0.0,0.0,0.0,0.0
0,0,0,0,1,0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.06217883762883712
0,0,0,0,1,0,1,1,1,1,1,1,0.08885347985347986,0.0,0.0,0.002857142857142857,0.0,0.0
0,0,0,0,1,1,0,0,0,0,0,0,0.40733395382584325,0.36199141816535446,0.34418929308972884,0.14802192035306103,0.0,0.037523087321778455
0,0,0,0,1,1,0,0,0,0,0,1,0.2955479824233079,0.24108695332892416,0.3421824809670384,0.20264056414683385,0.0,0.01616316320155897
0,0,0,0,1,1,0,0,0,0,1,0,0.3938162996954251,0.399995827559609,0.33060841252531303,0.10246295931588134,0.0,0.015955404673382963
0,0,0,0,1,1,0,0,0,0,1,1,0.3519344631082935,0.33549976558643757,0.27833067176292786,0.12680332819243026,0.0,0.007801522022552478
0,0,0,0,1,1,0,0,0,1,0,0,0.4491218226218227,0.4491218226218227,0.0,0.0,0.0,0.0
0,0,0,0,1,1,0,0,0,1,0,1,0.3377589077589078,0.3377589077589078,0.049889610389610387,0.0,0.0,0.0
0,0,0,0,1,1,0,0,0,1,1,0,0.35990465090465096,0.35990465090465096,0.0,0.0,0.0,0.0
0,0,0,0,1,1,0,0,0,1,1,1,0.31092124542124544,0.31092124542124544,0.16854761904761906,0.0,0.0,0.0
0,0,0,0,1,1,0,0,1,0,0,0,0.3500261088240966,0.3500261088240966,0.0,0.17250188442448508,0.0,0.0
0,0,0,0,1,1,0,0,1,0,0,1,0.020686907020872863,0.020686907020872863,0.0,0.0029981024667931687,0.0,0.0
0,0,0,0,1,1,0,0,1,0,1,0,0.3196127306347054,0.3196127306347054,0.0,0.15178860592526633,0.0,0.0
0,0,0,0,1,1,0,0,1,0,1,1,0.13792928279855274,0.13175166046083853,0.0,0.07414532597619583,0.0,0.0
0,0,0,0,1,1,0,0,1,1,0,0,0.13603672525108787,0.13594409651385692,0.0,0.008035714285714287,0.005835561497326204,0.0
0,0,0,0,1,1,0,0,1,1,0,1,0.1757314187584749,0.17834011441064881,0.0,0.0,0.0020855614973262033,0.0
0,0,0,0,1,1,0,0,1,1,1,0,0.5937695637695638,0.5947219447219446,0.0,0.0014285714285714286,0.0,0.0
0,0,0,0,1,1,0,0,1,1,1,1,0.3938907203907205,0.3938907203907205,0.0,0.0,0.0,0.0
0,0,0,0,1,1,0,1,0,0,0,0,0.3212968591691996,0.001276595744680851,0.31770347855454234,0.003829787234042553,0.0,0.000851063829787234
0,0,0,0,1,1,0,1,0,0,0,1,0.1385753525227209,0.010136452241715398,0.18668810916179335,0.3413509025087973,0.0,0.0
0,0,0,0,1,1,0,1,0,0,1,0,0.23285714285714285,0.01,0.3124823676245836,0.07109033776467157,0.0,0.0
