,feature,probabilities
53,"[1, 1, 0, 1, 0, 1]",[0.01338674 0.00801815 0.12548336 0.01469883 0.14862336 0.04287495]
54,"[1, 1, 0, 1, 1, 0]",[0.01143057 0.00432652 0.1476747  0.0103073  0.04926682 0.05391889]
55,"[1, 1, 0, 1, 1, 1]",[0.01161909 0.0062278  0.13760038 0.01406007 0.06398483 0.03417367]
56,"[1, 1, 1, 0, 0, 0]",[0.00948681 0.00488738 0.007472   0.06032592 0.0768495  0.03843996]
57,"[1, 1, 1, 0, 0, 1]",[0.00890229 0.00568149 0.00686748 0.07124889 0.09531759 0.025317  ]
58,"[1, 1, 1, 0, 1, 0]",[0.00799865 0.00357559 0.00812283 0.05767247 0.03878767 0.0325671 ]
59,"[1, 1, 1, 0, 1, 1]",[0.00813104 0.00514857 0.00748509 0.07732306 0.05054154 0.02047176]
60,"[1, 1, 1, 1, 0, 0]",[0.01043338 0.00596368 0.01086556 0.00988186 0.07129095 0.03696459]
61,"[1, 1, 1, 1, 0, 1]",[0.00988056 0.00710771 0.0099818  0.01199438 0.08985437 0.02426607]
62,"[1, 1, 1, 1, 1, 0]",[0.0082316  0.00380123 0.01122442 0.00936568 0.0577281  0.03617735]
63,"[1, 1, 1, 1, 1, 1]",[0.0083678  0.00547293 0.01034571 0.01278006 0.07477504 0.02277274]
